annot1_idx,annot2_idx,Gof,label1,label2
1,0,86.8523229347972,unknown,no label
2,30,35.630689206762,FA,G_precentral
3,17,30.453904240312,FB,G_front_sup
4,17,32.2207534699273,FC,G_front_sup
5,13,44.0863901268426,FCBm,G_front_inf-Opercular
6,17,31.0011883541295,FD,G_front_sup
7,55,52.0408163265306,FDdelta,S_front_middle
8,15,45.7838143746463,FDT,G_front_inf-Triangul
9,2,17.3318129988597,FE,G_and_S_frontomargin
10,25,35.6120487075411,FF,G_orbital
11,32,70.5769230769231,FG,G_rectus
12,32,33.6721728081321,FH,G_rectus
13,49,42.4467099165894,FJK,S_circular_insula_ant
14,0,25.4617414248021,FLMN,no label
15,24,96.978021978022,HA,G_oc-temp_med-Parahip
16,24,100,HB,G_oc-temp_med-Parahip
17,24,67.3302107728337,HC,G_oc-temp_med-Parahip
18,51,56.1463693539165,IA,S_circular_insula_sup
19,50,56.2127464465841,IB,S_circular_insula_inf
20,9,46.4178464178464,LA1,G_and_S_cingul-Mid-Post
21,68,35.1618705035971,LA2,S_pericallosal
22,73,33.0455635491607,LC1,S_subparietal
23,10,66.5985699693565,LC2,G_cingul-Post-dorsal
24,10,42.5675675675676,LC3,G_cingul-Post-dorsal
25,11,62.9757785467128,LD,G_cingul-Post-ventral
26,68,28.9439374185137,LE,S_pericallosal
27,63,13.7749341362439,OA,S_oc-temp_med_and_Lingual
28,23,42.0075757575758,OB,G_oc-temp_med-Lingual
29,46,72.80951150168,OC,S_calcarine
30,47,58.9261379122377,PA,S_central
31,29,43.842645381984,PB,G_postcentral
32,29,53.3884738527215,PC,G_postcentral
33,69,45.2189361479778,PD,S_postcentral
34,28,33.7209302325581,PE,G_parietal_sup
35,27,48.35904628331,PF,G_pariet_inf-Supramar
36,26,41.618398637138,PG,G_pariet_inf-Angular
37,3,17.2112528394199,PH,G_and_S_occipital_inf
38,35,36.7415730337079,TA,G_temp_sup-Lateral
39,50,65.9606656580938,TB,S_circular_insula_inf
40,34,51.3725490196078,TC,G_temp_sup-G_T_transv
41,42,75.5154639175258,TD,Lat_Fis-post
42,75,28.6992748032711,TE,S_temporal_sup
43,22,35.7437242412889,TF,G_oc-temp_lat-fusifor
44,45,52.619589977221,TG,Pole_temporal
45,0,85.6957256073795,unknown,no label
46,106,44.3866797808065,FA,G_precentral
47,93,27.0741068792442,FB,G_front_sup
48,93,30.3509871513632,FC,G_front_sup
49,89,40.0866738894908,FCBm,G_front_inf-Opercular
50,93,27.7125410991076,FD,G_front_sup
51,131,57.9984239558708,FDdelta,S_front_middle
52,91,41.4376321353066,FDT,G_front_inf-Triangul
53,101,24.5412844036697,FE,G_orbital
54,101,42.1775898520085,FF,G_orbital
55,108,66.8820678513732,FG,G_rectus
56,83,44.6315789473684,FH,G_and_S_cingul-Ant
57,125,54.2718446601942,FJK,S_circular_insula_ant
58,108,36.5935919055649,FLMN,G_rectus
59,100,92.3884514435696,HA,G_oc-temp_med-Parahip
60,100,95.4268292682927,HB,G_oc-temp_med-Parahip
61,100,62.7947598253275,HC,G_oc-temp_med-Parahip
62,127,51.3831665685697,IA,S_circular_insula_sup
63,126,47.9183032207384,IB,S_circular_insula_inf
64,85,32.9182093571188,LA1,G_and_S_cingul-Mid-Post
65,85,31.6666666666667,LA2,G_and_S_cingul-Mid-Post
66,149,37.905604719764,LC1,S_subparietal
67,86,63.4433962264151,LC2,G_cingul-Post-dorsal
68,86,67.3913043478261,LC3,G_cingul-Post-dorsal
69,87,43.7888198757764,LD,G_cingul-Post-ventral
70,144,27.6422764227642,LE,S_pericallosal
71,120,15.8719704952582,OA,Pole_occipital
72,99,33.3333333333333,OB,G_oc-temp_med-Lingual
73,122,68.3558248416414,OC,S_calcarine
74,123,57.7842720510096,PA,S_central
75,123,41.6840640222686,PB,S_central
76,105,59.5487066593286,PC,G_postcentral
77,145,36.3563970978588,PD,S_postcentral
78,107,35.7810578105781,PE,G_precuneus
79,103,44.1143705904196,PF,G_pariet_inf-Supramar
80,102,37.2423454072444,PG,G_pariet_inf-Angular
81,79,27.3787313432836,PH,G_and_S_occipital_inf
82,111,47.8679504814305,TA,G_temp_sup-Lateral
83,126,56.1527581329562,TB,S_circular_insula_inf
84,126,49.4366197183099,TC,S_circular_insula_inf
85,118,75.5411255411255,TD,Lat_Fis-post
86,151,34.460141271443,TE,S_temporal_sup
87,98,37.5364006988934,TF,G_oc-temp_lat-fusifor
88,121,56.8166089965398,TG,Pole_temporal
