annot1_idx,annot2_idx,Gof,label1,label2
1,0,86.8523229347972,unknown,no label
2,25,78.4893801473775,FA,precentral
3,29,47.3902580698697,FB,superiorfrontal
4,29,52.1315267680106,FC,superiorfrontal
5,19,87.6928351045595,FCBm,parsopercularis
6,28,49.6880570409982,FD,rostralmiddlefrontal
7,28,100,FDdelta,rostralmiddlefrontal
8,21,67.1194114318053,FDT,parstriangularis
9,15,37.4762447738502,FE,medialorbitofrontal
10,13,68.9168980986969,FF,lateralorbitofrontal
11,15,98.0769230769231,FG,medialorbitofrontal
12,15,80.0508259212198,FH,medialorbitofrontal
13,36,41.241890639481,FJK,insula
14,15,63.1926121372032,FLMN,medialorbitofrontal
15,7,96.1538461538462,HA,entorhinal
16,7,98.4326018808777,HB,entorhinal
17,17,80.152224824356,HC,parahippocampal
18,36,97.1412235563179,IA,insula
19,36,92.801467216873,IB,insula
20,24,42.3852423852424,LA1,posteriorcingulate
21,24,39.0287769784173,LA2,posteriorcingulate
22,26,48.9208633093525,LC1,precuneus
23,11,51.0725229826353,LC2,isthmuscingulate
24,24,100,LC3,posteriorcingulate
25,11,71.9723183391004,LD,isthmuscingulate
26,11,68.4485006518905,LE,isthmuscingulate
27,12,35.6040647346632,OA,lateraloccipital
28,14,42.6136363636364,OB,lingual
29,22,47.4024295683639,OC,pericalcarine
30,23,49.5230307985827,PA,postcentral
31,23,74.3443557582668,PB,postcentral
32,23,83.3511205976521,PC,postcentral
33,30,40.4012958511861,PD,superiorparietal
34,30,53.9006342494715,PE,superiorparietal
35,32,77.1809256661992,PF,supramarginal
36,9,92.6064735945486,PG,inferiorparietal
37,12,45.0288310326752,PH,lateraloccipital
38,31,90.2621722846442,TA,superiortemporal
39,31,91.8305597579425,TB,superiortemporal
40,35,70.9803921568627,TC,transversetemporal
41,35,53.0927835051546,TD,transversetemporal
42,16,28.3058170035488,TE,middletemporal
43,8,93.2184338703634,TF,fusiform
44,34,27.2046859746176,TG,temporalpole
45,0,85.6957256073795,unknown,no label
46,61,82.4785724322046,FA,precentral
47,65,39.4449365219959,FB,superiorfrontal
48,65,49.0911939830774,FC,superiorfrontal
49,55,81.0762007945107,FCBm,parsopercularis
50,64,48.3325504931893,FD,rostralmiddlefrontal
51,64,100,FDdelta,rostralmiddlefrontal
52,57,84.3023255813954,FDT,parstriangularis
53,51,38.5321100917431,FE,medialorbitofrontal
54,49,71.6067653276956,FF,lateralorbitofrontal
55,51,98.546042003231,FG,medialorbitofrontal
56,51,100,FH,medialorbitofrontal
57,49,36.6990291262136,FJK,lateralorbitofrontal
58,51,90.3878583473862,FLMN,medialorbitofrontal
59,43,82.9396325459318,HA,entorhinal
60,43,95.4268292682927,HB,entorhinal
61,53,88.3842794759825,HC,parahippocampal
62,72,98.3519717480871,IA,insula
63,72,89.3165750196386,IB,insula
64,60,39.5826321104005,LA1,posteriorcingulate
65,60,39.537037037037,LA2,posteriorcingulate
66,62,45.2802359882006,LC1,precuneus
67,47,79.4811320754717,LC2,isthmuscingulate
68,60,77.1739130434783,LC3,posteriorcingulate
69,47,60.5590062111801,LD,isthmuscingulate
70,47,70.2439024390244,LE,isthmuscingulate
71,48,36.3540569020021,OA,lateraloccipital
72,50,39.0828924162258,OB,lingual
73,58,46.708895621041,OC,pericalcarine
74,61,38.3103081827843,PA,precentral
75,59,61.1691022964509,PB,postcentral
76,59,85.6906989543203,PC,postcentral
77,66,44.7531410369846,PD,superiorparietal
78,62,54.9077490774908,PE,precuneus
79,68,72.4223294962248,PF,supramarginal
80,45,97.7986792075245,PG,inferiorparietal
81,48,54.4542910447761,PH,lateraloccipital
82,67,97.0197157267309,TA,superiortemporal
83,67,94.2008486562942,TB,superiortemporal
84,71,61.830985915493,TC,transversetemporal
85,71,51.7316017316017,TD,transversetemporal
86,52,32.3194464465907,TE,middletemporal
87,44,91.3511939429237,TF,fusiform
88,70,25.5709342560554,TG,temporalpole
