annot1_idx,annot2_idx,Gof,label1,label2
1,1,89.9183290935868,unknown,cortical_wall
2,5,98.8621586475943,FA,idiotypic
3,4,63.579785909883,FB,unimodal
4,3,78.4038334434898,FC,heteromodal
5,4,66.4724031539253,FCBm,unimodal
6,3,99.212715389186,FD,heteromodal
7,3,100,FDdelta,heteromodal
8,3,83.6445953593662,FDT,heteromodal
9,3,74.1923223109084,FE,heteromodal
10,2,55.6291390728477,FF,paralimbic
11,2,100,FG,paralimbic
12,2,99.8729351969504,FH,paralimbic
13,2,69.2307692307692,FJK,paralimbic
14,2,51.3192612137203,FLMN,paralimbic
15,2,99.4505494505495,HA,paralimbic
16,2,100,HB,paralimbic
17,2,50.4683840749415,HC,paralimbic
18,2,76.5008576329331,IA,paralimbic
19,2,71.205868867492,IB,paralimbic
20,2,76.3191763191763,LA1,paralimbic
21,2,87.6798561151079,LA2,paralimbic
22,3,54.1486810551559,LC1,heteromodal
23,2,78.4473953013279,LC2,paralimbic
24,2,99.3243243243243,LC3,paralimbic
25,2,74.3944636678201,LD,paralimbic
26,2,77.7053455019557,LE,paralimbic
27,4,48.1369966127211,OA,unimodal
28,5,93.8257575757576,OB,idiotypic
29,5,92.9956060997674,OC,idiotypic
30,5,81.2755519215045,PA,idiotypic
31,5,86.0889395667047,PB,idiotypic
32,5,77.9615795090715,PC,idiotypic
33,3,50.3605392413,PD,heteromodal
34,3,75.7188160676533,PE,heteromodal
35,3,64.2215988779804,PF,heteromodal
36,3,76.9165247018739,PG,heteromodal
37,4,91.5079503756771,PH,unimodal
38,4,65.9176029962547,TA,unimodal
39,4,96.5204236006051,TB,unimodal
40,4,80.6535947712418,TC,unimodal
41,5,73.9690721649485,TD,idiotypic
42,4,65.406573059713,TE,unimodal
43,4,77.9318096665418,TF,unimodal
44,2,91.1161731207289,TG,paralimbic
45,0,93.9716772768611,unknown,no label
46,10,100,FA,idiotypic
47,9,64.4301741954532,FB,unimodal
48,8,90.7552491382012,FC,heteromodal
49,8,59.5882990249187,FCBm,heteromodal
50,8,99.3893846876468,FD,heteromodal
51,8,100,FDdelta,heteromodal
52,8,89.3763213530655,FDT,heteromodal
53,8,99.3501529051988,FE,heteromodal
54,7,54.5877378435518,FF,paralimbic
55,8,61.389337641357,FG,heteromodal
56,7,87.3684210526316,FH,paralimbic
57,7,79.4174757281553,FJK,paralimbic
58,7,72.0067453625632,FLMN,paralimbic
59,7,90.2887139107612,HA,paralimbic
60,7,100,HB,paralimbic
61,7,65.5021834061135,HC,paralimbic
62,7,92.2895821071218,IA,paralimbic
63,7,85.6637863315004,IB,paralimbic
64,7,57.2534500168294,LA1,paralimbic
65,7,97.6851851851852,LA2,paralimbic
66,8,46.0176991150442,LC1,heteromodal
67,7,93.1603773584906,LC2,paralimbic
68,7,98.9130434782609,LC3,paralimbic
69,7,98.4472049689441,LD,paralimbic
70,7,75.1219512195122,LE,paralimbic
71,10,57.218124341412,OA,idiotypic
72,10,91.5343915343915,OB,idiotypic
73,10,89.5896447259708,OC,idiotypic
74,10,73.1934112646121,PA,idiotypic
75,10,71.8858733472512,PB,idiotypic
76,10,76.0319207484865,PC,idiotypic
77,8,60.9272695098213,PD,heteromodal
78,8,78.2287822878229,PE,heteromodal
79,8,65.9982671122664,PF,heteromodal
80,8,62.1773063838303,PG,heteromodal
81,9,92.3973880597015,PH,unimodal
82,9,74.9656121045392,TA,unimodal
83,9,68.7411598302687,TB,unimodal
84,9,67.887323943662,TC,unimodal
85,9,78.1385281385281,TD,unimodal
86,9,66.9814040651578,TE,unimodal
87,9,52.853814793244,TF,unimodal
88,7,86.2975778546713,TG,paralimbic
