annot1_idx,annot2_idx,Gof,label1,label2
1,1,99.9464453072701,unknown,unknown
2,1,100,FA,unknown
3,1,100,FB,unknown
4,1,100,FC,unknown
5,1,100,FCBm,unknown
6,1,100,FD,unknown
7,1,100,FDdelta,unknown
8,1,89.586870401811,FDT,unknown
9,1,99.5819080197644,FE,unknown
10,1,100,FF,unknown
11,1,61.9230769230769,FG,unknown
12,1,98.4752223634053,FH,unknown
13,1,100,FJK,unknown
14,1,100,FLMN,unknown
15,1,61.5384615384615,HA,unknown
16,1,63.9498432601881,HB,unknown
17,1,85.7142857142857,HC,unknown
18,1,100,IA,unknown
19,1,100,IB,unknown
20,1,100,LA1,unknown
21,1,100,LA2,unknown
22,1,95.347721822542,LC1,unknown
23,1,87.7425944841675,LC2,unknown
24,1,100,LC3,unknown
25,1,100,LD,unknown
26,1,100,LE,unknown
27,1,100,OA,unknown
28,1,100,OB,unknown
29,1,100,OC,unknown
30,1,100,PA,unknown
31,1,100,PB,unknown
32,1,100,PC,unknown
33,1,98.0562232208172,PD,unknown
34,1,99.8520084566596,PE,unknown
35,1,98.0224403927069,PF,unknown
36,1,93.9863713798978,PG,unknown
37,1,100,PH,unknown
38,1,100,TA,unknown
39,1,100,TB,unknown
40,1,100,TC,unknown
41,1,100,TD,unknown
42,1,97.6238234840303,TE,unknown
43,1,100,TF,unknown
44,1,90.6605922551253,TG,unknown
45,10,99.9740158503313,unknown,unknown
46,10,100,FA,unknown
47,10,100,FB,unknown
48,10,100,FC,unknown
49,10,100,FCBm,unknown
50,10,100,FD,unknown
51,10,100,FDdelta,unknown
52,10,89.7991543340381,FDT,unknown
53,10,100,FE,unknown
54,10,98.8794926004228,FF,unknown
55,10,91.1147011308562,FG,unknown
56,10,78.9473684210526,FH,unknown
57,10,100,FJK,unknown
58,10,66.9477234401349,FLMN,unknown
59,10,53.8057742782152,HA,unknown
60,16,54.5731707317073,HB,oasis.chubs.mtl
61,10,96.7685589519651,HC,unknown
62,10,100,IA,unknown
63,10,100,IB,unknown
64,10,100,LA1,unknown
65,10,100,LA2,unknown
66,10,90.9046214355949,LC1,unknown
67,10,93.1603773584906,LC2,unknown
68,10,100,LC3,unknown
69,10,100,LD,unknown
70,10,100,LE,unknown
71,10,100,OA,unknown
72,10,100,OB,unknown
73,10,100,OC,unknown
74,10,100,PA,unknown
75,10,100,PB,unknown
76,10,100,PC,unknown
77,10,99.3364006370554,PD,unknown
78,10,100,PE,unknown
79,10,98.7622230474069,PF,unknown
80,10,93.1959175505303,PG,unknown
81,10,100,PH,unknown
82,10,98.9454378725355,TA,unknown
83,10,100,TB,unknown
84,10,100,TC,unknown
85,10,100,TD,unknown
86,10,96.9799625198213,TE,unknown
87,10,99.4175888177053,TF,unknown
88,10,95.8131487889273,TG,unknown
