annot1_idx,annot2_idx,Gof,label1,label2
1,1,8.6108633164833,unknown,Background+FreeSurfer_Defined_Medial_Wall
2,69,70.6521739130435,oasis.chubs.ifc,7Networks_LH_Cont_PFCl_4
3,62,63.4343434343434,oasis.chubs.ipc,7Networks_LH_Cont_Par_1
4,34,72.8643216080402,oasis.chubs.ips,7Networks_LH_DorsAttn_Post_3
5,76,45.1298701298701,oasis.chubs.lateraltemporal,7Networks_LH_Default_Temp_2
6,57,96.3800904977376,oasis.chubs.medialpfc,7Networks_LH_Limbic_OFC_2
7,58,83.2347140039448,oasis.chubs.mtl,7Networks_LH_Limbic_TempPole_1
8,97,50.2304147465438,oasis.chubs.retrosplenial,7Networks_LH_Default_PCC_1
9,60,83.6236933797909,oasis.chubs.tp,7Networks_LH_Limbic_TempPole_3
10,102,8.64817348347437,unknown,
11,192,100,oasis.chubs.ifc,7Networks_RH_Default_PFCv_1
12,186,55.1829268292683,oasis.chubs.ipc,7Networks_RH_Default_Par_3
13,117,91.4438502673797,oasis.chubs.ips,7Networks_RH_Vis_15
14,170,33.1742243436754,oasis.chubs.lateraltemporal,7Networks_RH_Cont_Temp_1
15,161,75.7425742574257,oasis.chubs.medialpfc,7Networks_RH_Limbic_OFC_1
16,166,97.3557692307692,oasis.chubs.mtl,7Networks_RH_Limbic_TempPole_3
17,201,100,oasis.chubs.retrosplenial,7Networks_RH_Default_PCC_2
18,187,72.2222222222222,oasis.chubs.tp,7Networks_RH_Default_Temp_1
