annot1_idx,annot2_idx,Gof,label1,label2
1,18,9.49796808405194,unknown,17Networks_17
2,18,50.5434782608696,oasis.chubs.ifc,17Networks_17
3,14,96.1616161616162,oasis.chubs.ipc,17Networks_13
4,13,59.7989949748744,oasis.chubs.ips,17Networks_12
5,18,100,oasis.chubs.lateraltemporal,17Networks_17
6,11,99.5475113122172,oasis.chubs.medialpfc,17Networks_10
7,10,62.5246548323471,oasis.chubs.mtl,17Networks_9
8,17,87.5576036866359,oasis.chubs.retrosplenial,17Networks_16
9,10,100,oasis.chubs.tp,17Networks_9
10,22,8.98617654159728,unknown,17Networks_3
11,36,53.3678756476684,oasis.chubs.ifc,17Networks_17
12,32,100,oasis.chubs.ipc,17Networks_13
13,24,97.3262032085562,oasis.chubs.ips,17Networks_5
14,33,33.890214797136,oasis.chubs.lateraltemporal,17Networks_14
15,29,100,oasis.chubs.medialpfc,17Networks_10
16,28,81.0096153846154,oasis.chubs.mtl,17Networks_9
17,35,100,oasis.chubs.retrosplenial,17Networks_16
18,28,100,oasis.chubs.tp,17Networks_9
