annot1_idx,annot2_idx,Gof,label1,label2
1,42,8.59909307166221,unknown,Medial_wall
2,9,69.5652173913043,oasis.chubs.ifc,G_frontal_inf-Triangular_part
3,23,89.6969696969697,oasis.chubs.ipc,G_parietal_inferior-Angular_part
4,60,68.8442211055276,oasis.chubs.ips,S_intraparietal-and_Parietal_transverse
5,33,98.7012987012987,oasis.chubs.lateraltemporal,G_temporal_middle
6,29,100,oasis.chubs.medialpfc,G_rectus
7,20,98.8165680473373,oasis.chubs.mtl,G_occipit-temp_med-Parahippocampal_part
8,28,66.8202764976959,oasis.chubs.retrosplenial,G_precuneus
9,36,52.2648083623693,oasis.chubs.tp,G_temp_sup-Planum_polare
10,124,8.61474460959409,unknown,Medial_wall
11,91,100,oasis.chubs.ifc,G_frontal_inf-Triangular_part
12,105,100,oasis.chubs.ipc,G_parietal_inferior-Angular_part
13,98,79.144385026738,oasis.chubs.ips,G_occipital_middle
14,115,100,oasis.chubs.lateraltemporal,G_temporal_middle
15,111,50,oasis.chubs.medialpfc,G_rectus
16,102,100,oasis.chubs.mtl,G_occipit-temp_med-Parahippocampal_part
17,87,52.3364485981308,oasis.chubs.retrosplenial,G_cingulate-Main_part
18,118,68.75,oasis.chubs.tp,G_temp_sup-Planum_polare
