annot1_idx,annot2_idx,Gof,label1,label2
1,1,9.24893448310041,unknown,unknown
2,9,100,oasis.chubs.ifc,FDT
3,34,37.5757575757576,oasis.chubs.ipc,PD
4,37,92.964824120603,oasis.chubs.ips,PG
5,43,100,oasis.chubs.lateraltemporal,TE
6,12,89.5927601809955,oasis.chubs.medialpfc,FG
7,18,48.1262327416174,oasis.chubs.mtl,HC
8,24,55.2995391705069,oasis.chubs.retrosplenial,LC2
9,45,100,oasis.chubs.tp,TG
10,46,9.52722905588193,unknown,unknown
11,54,100,oasis.chubs.ifc,FDT
12,82,46.6463414634146,oasis.chubs.ipc,PG
13,82,100,oasis.chubs.ips,PG
14,88,100,oasis.chubs.lateraltemporal,TE
15,60,48.5148514851485,oasis.chubs.medialpfc,FLMN
16,62,43.0288461538462,oasis.chubs.mtl,HB
17,68,86.4485981308411,oasis.chubs.retrosplenial,LC1
18,90,84.0277777777778,oasis.chubs.tp,TG
