annot1_idx,annot2_idx,Gof,label1,label2
1,3,36.4041282584994,unknown,parc_2
2,3,100,oasis.chubs.ifc,parc_2
3,4,100,oasis.chubs.ipc,parc_3
4,4,98.4924623115578,oasis.chubs.ips,parc_3
5,3,100,oasis.chubs.lateraltemporal,parc_2
6,5,100,oasis.chubs.medialpfc,parc_4
7,7,100,oasis.chubs.mtl,parc_6
8,7,98.1566820276498,oasis.chubs.retrosplenial,parc_6
9,7,100,oasis.chubs.tp,parc_6
10,11,38.4240143125104,unknown,parc_2
11,11,100,oasis.chubs.ifc,parc_2
12,12,100,oasis.chubs.ipc,parc_3
13,12,100,oasis.chubs.ips,parc_3
14,11,100,oasis.chubs.lateraltemporal,parc_2
15,13,100,oasis.chubs.medialpfc,parc_4
16,11,75,oasis.chubs.mtl,parc_2
17,15,100,oasis.chubs.retrosplenial,parc_6
18,15,83.3333333333333,oasis.chubs.tp,parc_6
