annot1_idx,annot2_idx,Gof,label1,label2
1,3,29.7155317672713,unknown,heteromodal
2,3,98.9130434782609,oasis.chubs.ifc,heteromodal
3,3,100,oasis.chubs.ipc,heteromodal
4,3,62.8140703517588,oasis.chubs.ips,heteromodal
5,3,100,oasis.chubs.lateraltemporal,heteromodal
6,2,100,oasis.chubs.medialpfc,paralimbic
7,2,100,oasis.chubs.mtl,paralimbic
8,3,74.6543778801843,oasis.chubs.retrosplenial,heteromodal
9,2,100,oasis.chubs.tp,paralimbic
10,8,32.1437193955564,unknown,heteromodal
11,8,100,oasis.chubs.ifc,heteromodal
12,8,100,oasis.chubs.ipc,heteromodal
13,9,75.4010695187166,oasis.chubs.ips,unimodal
14,8,99.7613365155131,oasis.chubs.lateraltemporal,heteromodal
15,7,98.7623762376238,oasis.chubs.medialpfc,paralimbic
16,7,94.7115384615385,oasis.chubs.mtl,paralimbic
17,7,75.7009345794392,oasis.chubs.retrosplenial,paralimbic
18,7,100,oasis.chubs.tp,paralimbic
