annot1_idx,annot2_idx,Gof,label1,label2
1,1,8.26457032411537,unknown,sjh_0
2,66,57.6086956521739,oasis.chubs.ifc,sjh_65
3,244,73.7373737373737,oasis.chubs.ipc,sjh_245
4,176,46.7336683417085,oasis.chubs.ips,sjh_175
5,335,68.8311688311688,oasis.chubs.lateraltemporal,sjh_337
6,376,44.3438914027149,oasis.chubs.medialpfc,sjh_378
7,412,59.1715976331361,oasis.chubs.mtl,sjh_414
8,260,58.9861751152074,oasis.chubs.retrosplenial,sjh_261
9,298,35.8885017421603,oasis.chubs.tp,sjh_300
10,506,8.32936107517163,unknown,sjh_0
11,979,76.1658031088083,oasis.chubs.ifc,sjh_981
12,752,50.9146341463415,oasis.chubs.ipc,sjh_754
13,686,42.7807486631016,oasis.chubs.ips,sjh_688
14,820,52.2673031026253,oasis.chubs.lateraltemporal,sjh_822
15,599,42.8217821782178,oasis.chubs.medialpfc,sjh_601
16,920,43.2692307692308,oasis.chubs.mtl,sjh_922
17,627,50,oasis.chubs.retrosplenial,sjh_629
18,906,37.5,oasis.chubs.tp,sjh_908
