annot1_idx,annot2_idx,Gof,label1,label2
1,0,93.088973840042,sjh_0,no label
2,97,47.2868217054264,sjh_1,precentral_part8
3,94,65.4377880184332,sjh_2,precentral_part5
4,97,96.2962962962963,sjh_3,precentral_part8
5,96,56.0897435897436,sjh_4,precentral_part7
6,93,82.8767123287671,sjh_5,precentral_part4
7,95,91.8831168831169,sjh_6,precentral_part6
8,96,90.0826446280992,sjh_7,precentral_part7
9,98,96.7642526964561,sjh_8,precentral_part9
10,93,49.0601503759398,sjh_9,precentral_part4
11,98,78.0645161290323,sjh_10,precentral_part9
12,6,46.7469879518072,sjh_11,caudalmiddlefrontal_part2
13,90,98.1651376146789,sjh_12,precentral_part1
14,90,93.2795698924731,sjh_13,precentral_part1
15,90,62.1513944223108,sjh_14,precentral_part1
16,93,68.4210526315789,sjh_15,precentral_part4
17,90,36.8945868945869,sjh_16,precentral_part1
18,96,57.1815718157182,sjh_17,precentral_part7
19,97,66.4206642066421,sjh_18,precentral_part8
20,95,74.7899159663866,sjh_19,precentral_part6
21,90,100,sjh_20,precentral_part1
22,93,91.4414414414414,sjh_21,precentral_part4
23,95,34.5959595959596,sjh_22,precentral_part6
24,122,83.0508474576271,sjh_23,superiorfrontal_part5
25,115,94.5859872611465,sjh_24,rostralmiddlefrontal_part9
26,127,82.4884792626728,sjh_25,superiorfrontal_part10
27,128,38.2629107981221,sjh_26,superiorfrontal_part11
28,126,47.8170478170478,sjh_27,superiorfrontal_part9
29,126,60.1476014760148,sjh_28,superiorfrontal_part9
30,122,54.1984732824427,sjh_29,superiorfrontal_part5
31,128,99.2125984251969,sjh_30,superiorfrontal_part11
32,94,44.3636363636364,sjh_31,precentral_part5
33,49,70.8661417322835,sjh_32,lateralorbitofrontal_part4
34,46,99.3827160493827,sjh_33,lateralorbitofrontal_part1
35,109,66.3677130044843,sjh_34,rostralmiddlefrontal_part3
36,109,58.273381294964,sjh_35,rostralmiddlefrontal_part3
37,46,53.5211267605634,sjh_36,lateralorbitofrontal_part1
38,109,39.0041493775934,sjh_37,rostralmiddlefrontal_part3
39,109,52.2222222222222,sjh_38,rostralmiddlefrontal_part3
40,46,82.8828828828829,sjh_39,lateralorbitofrontal_part1
41,109,100,sjh_40,rostralmiddlefrontal_part3
42,7,77.2277227722772,sjh_41,caudalmiddlefrontal_part3
43,110,100,sjh_42,rostralmiddlefrontal_part4
44,113,35.3887399463807,sjh_43,rostralmiddlefrontal_part7
45,8,95.9119496855346,sjh_44,caudalmiddlefrontal_part4
46,8,50,sjh_45,caudalmiddlefrontal_part4
47,5,64.8305084745763,sjh_46,caudalmiddlefrontal_part1
48,107,71.5151515151515,sjh_47,rostralmiddlefrontal_part1
49,5,79.0940766550523,sjh_48,caudalmiddlefrontal_part1
50,7,57.1428571428571,sjh_49,caudalmiddlefrontal_part3
51,6,56.8093385214008,sjh_50,caudalmiddlefrontal_part2
52,110,68.099173553719,sjh_51,rostralmiddlefrontal_part4
53,5,50.9727626459144,sjh_52,caudalmiddlefrontal_part1
54,116,45.9047619047619,sjh_53,rostralmiddlefrontal_part10
55,113,46.8030690537084,sjh_54,rostralmiddlefrontal_part7
56,107,51.3274336283186,sjh_55,rostralmiddlefrontal_part1
57,6,65.9420289855072,sjh_56,caudalmiddlefrontal_part2
58,7,80.9782608695652,sjh_57,caudalmiddlefrontal_part3
59,46,42.1965317919075,sjh_58,lateralorbitofrontal_part1
60,111,89.4117647058824,sjh_59,rostralmiddlefrontal_part5
61,109,77.027027027027,sjh_60,rostralmiddlefrontal_part3
62,74,44.578313253012,sjh_61,parsorbitalis_part1
63,72,70.3980099502487,sjh_62,parsopercularis_part2
64,73,86.6336633663366,sjh_63,parsopercularis_part3
65,72,73.4285714285714,sjh_64,parsopercularis_part2
66,76,43.921568627451,sjh_65,parstriangularis_part2
67,75,55.1155115511551,sjh_66,parstriangularis_part1
68,71,71.5909090909091,sjh_67,parsopercularis_part1
69,75,65.1452282157676,sjh_68,parstriangularis_part1
70,112,44.620253164557,sjh_69,rostralmiddlefrontal_part6
71,76,96.4509394572025,sjh_70,parstriangularis_part2
72,76,61.952861952862,sjh_71,parstriangularis_part2
73,49,50,sjh_72,lateralorbitofrontal_part4
74,48,77.5316455696203,sjh_73,lateralorbitofrontal_part3
