annot1_idx,annot2_idx,Gof,label1,label2
1,0,54.1713514729031,sjh_0,no matching lookup
2,12,69.5090439276486,sjh_1,L_PEF_ROI
3,55,79.2626728110599,sjh_2,L_6d_ROI
4,13,79.2592592592593,sjh_3,L_55b_ROI
5,55,74.6794871794872,sjh_4,L_6d_ROI
6,57,82.1917808219178,sjh_5,L_6v_ROI
7,57,62.012987012987,sjh_6,L_6v_ROI
8,11,62.396694214876,sjh_7,L_FEF_ROI
9,9,70.8782742681048,sjh_8,L_4_ROI
10,79,90.7894736842105,sjh_9,L_6r_ROI
11,11,77.4193548387097,sjh_10,L_FEF_ROI
12,81,69.3975903614458,sjh_11,L_IFJp_ROI
13,55,76.1467889908257,sjh_12,L_6d_ROI
14,9,75.5376344086021,sjh_13,L_4_ROI
15,9,98.00796812749,sjh_14,L_4_ROI
16,79,79.6992481203008,sjh_15,L_6r_ROI
17,9,50.7122507122507,sjh_16,L_4_ROI
18,97,80.0813008130081,sjh_17,L_6a_ROI
19,13,47.6014760147601,sjh_18,L_55b_ROI
20,9,78.1512605042017,sjh_19,L_4_ROI
21,55,85,sjh_20,L_6d_ROI
22,79,49.5495495495495,sjh_21,L_6r_ROI
23,9,63.6363636363636,sjh_22,L_4_ROI
24,97,100,sjh_23,L_6a_ROI
25,171,78.9808917197452,sjh_24,L_p10p_ROI
26,69,93.0875576036866,sjh_25,L_8Ad_ROI
27,72,76.056338028169,sjh_26,L_9p_ROI
28,97,51.3513513513513,sjh_27,L_6a_ROI
29,99,39.4833948339483,sjh_28,L_s6-8_ROI
30,97,73.6641221374046,sjh_29,L_6a_ROI
31,72,97.6377952755905,sjh_30,L_9p_ROI
32,56,91.6363636363636,sjh_31,L_6mp_ROI
33,93,100,sjh_32,L_13l_ROI
34,92,91.9753086419753,sjh_33,L_11l_ROI
35,91,30.9417040358744,sjh_34,L_10pp_ROI
36,92,78.4172661870504,sjh_35,L_11l_ROI
37,92,60.5633802816901,sjh_36,L_11l_ROI
38,90,78.0082987551867,sjh_37,L_a10p_ROI
39,91,100,sjh_38,L_10pp_ROI
40,91,51.3513513513513,sjh_39,L_10pp_ROI
41,92,50.7936507936508,sjh_40,L_11l_ROI
42,68,100,sjh_41,L_8Av_ROI
43,85,100,sjh_42,L_46_ROI
44,86,42.8954423592493,sjh_43,L_a9-46v_ROI
45,97,64.7798742138365,sjh_44,L_6a_ROI
46,11,81.3725490196078,sjh_45,L_FEF_ROI
47,69,94.9152542372881,sjh_46,L_8Ad_ROI
48,85,56.3636363636364,sjh_47,L_46_ROI
49,68,96.8641114982578,sjh_48,L_8Av_ROI
50,74,53.3333333333333,sjh_49,L_8C_ROI
51,74,65.7587548638132,sjh_50,L_8C_ROI
52,69,49.7520661157025,sjh_51,L_8Ad_ROI
53,98,83.6575875486381,sjh_52,L_i6-8_ROI
54,87,51.8095238095238,sjh_53,L_9-46d_ROI
55,86,76.7263427109974,sjh_54,L_a9-46v_ROI
56,74,75.811209439528,sjh_55,L_8C_ROI
57,74,48.3695652173913,sjh_56,L_8C_ROI
58,98,59.2391304347826,sjh_57,L_i6-8_ROI
59,92,61.271676300578,sjh_58,L_11l_ROI
60,78,60,sjh_59,L_a47r_ROI
61,78,55.4054054054054,sjh_60,L_a47r_ROI
62,78,69.8795180722892,sjh_61,L_a47r_ROI
63,109,55.4726368159204,sjh_62,L_FOP4_ROI
64,80,61.3861386138614,sjh_63,L_IFJa_ROI
65,109,68.5714285714286,sjh_64,L_FOP4_ROI
66,83,93.7254901960784,sjh_65,L_IFSa_ROI
67,76,73.2673267326733,sjh_66,L_45_ROI
68,82,64.7727272727273,sjh_67,L_IFSp_ROI
69,172,87.551867219917,sjh_68,L_p47r_ROI
70,172,81.3291139240506,sjh_69,L_p47r_ROI
71,170,87.2651356993737,sjh_70,L_FOP5_ROI
72,76,62.962962962963,sjh_71,L_45_ROI
73,93,81.3725490196078,sjh_72,L_13l_ROI
74,92,48.7341772151899,sjh_73,L_11l_ROI
75,167,37.5921375921376,sjh_74,L_pOFC_ROI
76,79,40.6451612903226,sjh_75,L_6r_ROI
77,114,40.1898734177215,sjh_76,L_FOP1_ROI
78,103,51.0297482837529,sjh_77,L_OP2-3_ROI
79,116,70.4128440366973,sjh_78,L_FOP2_ROI
80,103,77.0149253731343,sjh_79,L_OP2-3_ROI
81,61,57.3059360730594,sjh_80,L_p32pr_ROI
82,61,51.5090543259557,sjh_81,L_p32pr_ROI
83,64,93.469387755102,sjh_82,L_8BM_ROI
84,44,54.5454545454545,sjh_83,L_SCEF_ROI
85,41,71.7857142857143,sjh_84,L_24dd_ROI
86,42,71.6279069767442,sjh_85,L_24dv_ROI
