annot1_idx,annot2_idx,Gof,label1,label2
1,1,86.4477925193014,sjh_0,Background+FreeSurfer_Defined_Medial_Wall
2,92,78.5529715762274,sjh_1,7Networks_LH_DorsAttn_PrCv_2
3,62,97.926267281106,sjh_2,7Networks_LH_SomMot_30
4,186,35.1851851851852,sjh_3,7Networks_LH_Default_PFC_20
5,58,65.7051282051282,sjh_4,7Networks_LH_SomMot_26
6,91,73.2876712328767,sjh_5,7Networks_LH_DorsAttn_PrCv_1
7,92,45.7792207792208,sjh_6,7Networks_LH_DorsAttn_PrCv_2
8,87,54.9586776859504,sjh_7,7Networks_LH_DorsAttn_FEF_1
9,51,75.0385208012327,sjh_8,7Networks_LH_SomMot_19
10,91,57.3308270676692,sjh_9,7Networks_LH_DorsAttn_PrCv_1
11,87,69.6774193548387,sjh_10,7Networks_LH_DorsAttn_FEF_1
12,142,69.3975903614458,sjh_11,7Networks_LH_Cont_PFCl_8
13,58,100,sjh_12,7Networks_LH_SomMot_26
14,58,76.3440860215054,sjh_13,7Networks_LH_SomMot_26
15,63,72.5099601593625,sjh_14,7Networks_LH_SomMot_31
16,91,53.3834586466165,sjh_15,7Networks_LH_DorsAttn_PrCv_1
17,58,38.034188034188,sjh_16,7Networks_LH_SomMot_26
18,89,53.929539295393,sjh_17,7Networks_LH_DorsAttn_FEF_3
19,48,87.0848708487085,sjh_18,7Networks_LH_SomMot_16
20,44,93.6974789915966,sjh_19,7Networks_LH_SomMot_12
21,58,94.5,sjh_20,7Networks_LH_SomMot_26
22,91,59.9099099099099,sjh_21,7Networks_LH_DorsAttn_PrCv_1
23,46,50,sjh_22,7Networks_LH_SomMot_14
24,88,48.8700564971751,sjh_23,7Networks_LH_DorsAttn_FEF_2
25,172,52.2292993630573,sjh_24,7Networks_LH_Default_PFC_6
26,185,61.2903225806452,sjh_25,7Networks_LH_Default_PFC_19
27,181,45.3051643192488,sjh_26,7Networks_LH_Default_PFC_15
28,90,80.04158004158,sjh_27,7Networks_LH_DorsAttn_FEF_4
29,188,74.5387453874539,sjh_28,7Networks_LH_Default_PFC_22
30,62,51.9083969465649,sjh_29,7Networks_LH_SomMot_30
31,180,65.3543307086614,sjh_30,7Networks_LH_Default_PFC_14
32,66,85.0909090909091,sjh_31,7Networks_LH_SomMot_34
33,116,79.5275590551181,sjh_32,7Networks_LH_Limbic_OFC_2
34,117,74.0740740740741,sjh_33,7Networks_LH_Limbic_OFC_3
35,119,100,sjh_34,7Networks_LH_Limbic_OFC_5
36,135,53.2374100719424,sjh_35,7Networks_LH_Cont_PFCl_1
37,117,43.6619718309859,sjh_36,7Networks_LH_Limbic_OFC_3
38,119,61.4107883817427,sjh_37,7Networks_LH_Limbic_OFC_5
39,117,52.2222222222222,sjh_38,7Networks_LH_Limbic_OFC_3
40,117,100,sjh_39,7Networks_LH_Limbic_OFC_3
41,119,92.0634920634921,sjh_40,7Networks_LH_Limbic_OFC_5
42,183,64.8514851485149,sjh_41,7Networks_LH_Default_PFC_17
43,107,83.3333333333333,sjh_42,7Networks_LH_SalVentAttn_PFCl_1
44,172,50.402144772118,sjh_43,7Networks_LH_Default_PFC_6
45,88,98.1132075471698,sjh_44,7Networks_LH_DorsAttn_FEF_2
46,87,79.7385620915033,sjh_45,7Networks_LH_DorsAttn_FEF_1
47,188,44.9152542372881,sjh_46,7Networks_LH_Default_PFC_22
48,143,56.969696969697,sjh_47,7Networks_LH_Cont_PFCl_9
49,183,65.1567944250871,sjh_48,7Networks_LH_Default_PFC_17
50,183,98.0952380952381,sjh_49,7Networks_LH_Default_PFC_17
51,186,68.8715953307393,sjh_50,7Networks_LH_Default_PFC_20
52,182,60.3305785123967,sjh_51,7Networks_LH_Default_PFC_16
53,187,64.591439688716,sjh_52,7Networks_LH_Default_PFC_21
54,107,94.2857142857143,sjh_53,7Networks_LH_SalVentAttn_PFCl_1
55,138,79.0281329923274,sjh_54,7Networks_LH_Cont_PFCl_4
56,141,49.2625368731563,sjh_55,7Networks_LH_Cont_PFCl_7
57,141,48.5507246376812,sjh_56,7Networks_LH_Cont_PFCl_7
58,187,52.7173913043478,sjh_57,7Networks_LH_Default_PFC_21
59,135,65.3179190751445,sjh_58,7Networks_LH_Cont_PFCl_1
60,172,70.5882352941177,sjh_59,7Networks_LH_Default_PFC_6
61,135,52.7027027027027,sjh_60,7Networks_LH_Cont_PFCl_1
62,135,51.8072289156626,sjh_61,7Networks_LH_Cont_PFCl_1
63,102,67.6616915422886,sjh_62,7Networks_LH_SalVentAttn_FrOper_5
64,91,63.8613861386139,sjh_63,7Networks_LH_DorsAttn_PrCv_1
65,103,62,sjh_64,7Networks_LH_SalVentAttn_FrOper_6
66,137,87.4509803921569,sjh_65,7Networks_LH_Cont_PFCl_3
67,173,60.3960396039604,sjh_66,7Networks_LH_Default_PFC_7
68,141,94.8863636363636,sjh_67,7Networks_LH_Cont_PFCl_7
69,136,87.9668049792531,sjh_68,7Networks_LH_Cont_PFCl_2
70,136,43.6708860759494,sjh_69,7Networks_LH_Cont_PFCl_2
71,102,50.1043841336117,sjh_70,7Networks_LH_SalVentAttn_FrOper_5
72,173,54.8821548821549,sjh_71,7Networks_LH_Default_PFC_7
73,116,97.5490196078431,sjh_72,7Networks_LH_Limbic_OFC_2
74,168,78.4810126582278,sjh_73,7Networks_LH_Default_PFC_2
75,116,85.995085995086,sjh_74,7Networks_LH_Limbic_OFC_2
76,105,60.6451612903226,sjh_75,7Networks_LH_SalVentAttn_FrOper_8
77,105,87.3417721518987,sjh_76,7Networks_LH_SalVentAttn_FrOper_8
78,37,73.9130434782609,sjh_77,7Networks_LH_SomMot_5
79,36,86.697247706422,sjh_78,7Networks_LH_SomMot_4
80,40,63.2835820895522,sjh_79,7Networks_LH_SomMot_8
81,108,70.7762557077626,sjh_80,7Networks_LH_SalVentAttn_Med_1
82,111,63.5814889336016,sjh_81,7Networks_LH_SalVentAttn_Med_4
83,149,97.5510204081633,sjh_82,7Networks_LH_Cont_PFCmp_1
84,149,63.6363636363636,sjh_83,7Networks_LH_Cont_PFCmp_1
85,50,74.2857142857143,sjh_84,7Networks_LH_SomMot_18
86,109,65.5813953488372,sjh_85,7Networks_LH_SalVentAttn_Med_2
87,115,73.0612244897959,sjh_86,7Networks_LH_Limbic_OFC_1
88,149,69.5364238410596,sjh_87,7Networks_LH_Cont_PFCmp_1
89,189,81.5286624203822,sjh_88,7Networks_LH_Default_PFC_23
90,184,94.2028985507246,sjh_89,7Networks_LH_Default_PFC_18
