annot1_idx,annot2_idx,Gof,label1,label2
1,1,87.5421632561277,sjh_0,FreeSurfer_Defined_Medial_Wall
2,4,73.1266149870801,sjh_1,7Networks_3
3,3,95.3917050691244,sjh_2,7Networks_2
4,4,48.5185185185185,sjh_3,7Networks_3
5,3,100,sjh_4,7Networks_2
6,3,51.3698630136986,sjh_5,7Networks_2
7,3,71.7532467532468,sjh_6,7Networks_2
8,4,77.6859504132231,sjh_7,7Networks_3
9,3,100,sjh_8,7Networks_2
10,4,48.4962406015038,sjh_9,7Networks_3
11,3,40.9677419354839,sjh_10,7Networks_2
12,7,64.8192771084337,sjh_11,7Networks_6
13,3,100,sjh_12,7Networks_2
14,3,100,sjh_13,7Networks_2
15,3,100,sjh_14,7Networks_2
16,4,100,sjh_15,7Networks_3
17,3,100,sjh_16,7Networks_2
18,4,96.7479674796748,sjh_17,7Networks_3
19,3,98.5239852398524,sjh_18,7Networks_2
20,3,99.5798319327731,sjh_19,7Networks_2
21,3,100,sjh_20,7Networks_2
22,5,74.3243243243243,sjh_21,7Networks_4
23,3,100,sjh_22,7Networks_2
24,4,100,sjh_23,7Networks_3
25,8,86.3057324840764,sjh_24,7Networks_7
26,8,100,sjh_25,7Networks_7
27,8,94.8356807511737,sjh_26,7Networks_7
28,7,68.6070686070686,sjh_27,7Networks_6
29,8,81.549815498155,sjh_28,7Networks_7
30,4,64.5038167938931,sjh_29,7Networks_3
31,8,100,sjh_30,7Networks_7
32,3,92,sjh_31,7Networks_2
33,6,100,sjh_32,7Networks_5
34,6,74.0740740740741,sjh_33,7Networks_5
35,6,65.4708520179372,sjh_34,7Networks_5
36,6,74.8201438848921,sjh_35,7Networks_5
37,6,51.4084507042254,sjh_36,7Networks_5
38,8,93.7759336099585,sjh_37,7Networks_7
39,6,100,sjh_38,7Networks_5
40,6,100,sjh_39,7Networks_5
41,6,95.2380952380952,sjh_40,7Networks_5
42,8,100,sjh_41,7Networks_7
43,5,100,sjh_42,7Networks_4
44,7,95.9785522788204,sjh_43,7Networks_6
45,4,79.2452830188679,sjh_44,7Networks_3
46,4,81.3725490196078,sjh_45,7Networks_3
47,8,100,sjh_46,7Networks_7
48,7,52.7272727272727,sjh_47,7Networks_6
49,8,99.6515679442509,sjh_48,7Networks_7
50,8,100,sjh_49,7Networks_7
51,7,61.8677042801556,sjh_50,7Networks_6
52,8,76.8595041322314,sjh_51,7Networks_7
53,7,75.4863813229572,sjh_52,7Networks_6
54,5,98.4761904761905,sjh_53,7Networks_4
55,7,97.6982097186701,sjh_54,7Networks_6
56,7,81.4159292035398,sjh_55,7Networks_6
57,7,95.2898550724638,sjh_56,7Networks_6
58,8,60.8695652173913,sjh_57,7Networks_7
59,7,89.5953757225434,sjh_58,7Networks_6
60,8,80,sjh_59,7Networks_7
61,8,67.5675675675676,sjh_60,7Networks_7
62,8,45.1807228915663,sjh_61,7Networks_7
63,5,96.7661691542288,sjh_62,7Networks_4
64,7,74.5049504950495,sjh_63,7Networks_6
65,5,100,sjh_64,7Networks_4
66,7,97.6470588235294,sjh_65,7Networks_6
67,8,82.5082508250825,sjh_66,7Networks_7
68,7,87.2159090909091,sjh_67,7Networks_6
69,7,57.2614107883817,sjh_68,7Networks_6
70,7,100,sjh_69,7Networks_6
71,5,98.9561586638831,sjh_70,7Networks_4
72,8,72.0538720538721,sjh_71,7Networks_7
73,6,79.9019607843137,sjh_72,7Networks_5
74,7,49.6835443037975,sjh_73,7Networks_6
75,6,88.4520884520884,sjh_74,7Networks_5
76,5,100,sjh_75,7Networks_4
77,5,89.5569620253165,sjh_76,7Networks_4
78,3,100,sjh_77,7Networks_2
79,3,61.697247706422,sjh_78,7Networks_2
80,3,100,sjh_79,7Networks_2
81,5,79.6803652968037,sjh_80,7Networks_4
82,5,99.7987927565392,sjh_81,7Networks_4
83,7,92.6530612244898,sjh_82,7Networks_6
84,7,81.3636363636364,sjh_83,7Networks_6
85,3,100,sjh_84,7Networks_2
86,3,53.7209302325581,sjh_85,7Networks_2
87,6,80,sjh_86,7Networks_5
88,8,83.4437086092715,sjh_87,7Networks_7
89,8,100,sjh_88,7Networks_7
90,8,100,sjh_89,7Networks_7
91,8,100,sjh_90,7Networks_7
92,8,77.2277227722772,sjh_91,7Networks_7
93,6,96.6666666666667,sjh_92,7Networks_5
94,6,100,sjh_93,7Networks_5
95,6,63.9344262295082,sjh_94,7Networks_5
96,6,82.0143884892086,sjh_95,7Networks_5
97,7,64.7058823529412,sjh_96,7Networks_6
98,5,100,sjh_97,7Networks_4
99,3,100,sjh_98,7Networks_2
100,5,66.5706051873199,sjh_99,7Networks_4
101,8,87.1232876712329,sjh_100,7Networks_7
102,3,86.2857142857143,sjh_101,7Networks_2
103,5,100,sjh_102,7Networks_4
104,5,65.2582159624413,sjh_103,7Networks_4
105,5,86.9436201780415,sjh_104,7Networks_4
106,5,81.0126582278481,sjh_105,7Networks_4
107,5,98.3651226158038,sjh_106,7Networks_4
108,6,93.8775510204082,sjh_107,7Networks_5
109,8,100,sjh_108,7Networks_7
110,8,94.7368421052632,sjh_109,7Networks_7
111,5,63.8190954773869,sjh_110,7Networks_4
112,8,84.9009900990099,sjh_111,7Networks_7
113,5,88.9795918367347,sjh_112,7Networks_4
114,8,98.3443708609272,sjh_113,7Networks_7
115,3,79.3028322440087,sjh_114,7Networks_2
116,5,96,sjh_115,7Networks_4
117,3,65.311004784689,sjh_116,7Networks_2
118,7,50,sjh_117,7Networks_6
119,7,59.4666666666667,sjh_118,7Networks_6
120,8,100,sjh_119,7Networks_7
121,8,100,sjh_120,7Networks_7
122,8,97.8436657681941,sjh_121,7Networks_7
123,8,82.9787234042553,sjh_122,7Networks_7
124,2,62.1468926553672,sjh_123,7Networks_1
125,1,72.2627737226277,sjh_124,FreeSurfer_Defined_Medial_Wall
126,1,67.109634551495,sjh_125,FreeSurfer_Defined_Medial_Wall
127,1,86.5603644646925,sjh_126,FreeSurfer_Defined_Medial_Wall
128,1,60.3174603174603,sjh_127,FreeSurfer_Defined_Medial_Wall
129,8,92.2360248447205,sjh_128,7Networks_7
130,1,94.2652329749104,sjh_129,FreeSurfer_Defined_Medial_Wall
131,2,100,sjh_130,7Networks_1
132,2,100,sjh_131,7Networks_1
133,2,100,sjh_132,7Networks_1
134,2,100,sjh_133,7Networks_1
135,2,100,sjh_134,7Networks_1
136,2,100,sjh_135,7Networks_1
137,2,100,sjh_136,7Networks_1
138,2,100,sjh_137,7Networks_1
139,2,100,sjh_138,7Networks_1
140,2,100,sjh_139,7Networks_1
141,2,100,sjh_140,7Networks_1
142,2,100,sjh_141,7Networks_1
143,2,100,sjh_142,7Networks_1
144,2,100,sjh_143,7Networks_1
145,2,55.3235908141962,sjh_144,7Networks_1
146,2,100,sjh_145,7Networks_1
147,2,100,sjh_146,7Networks_1
148,2,96.875,sjh_147,7Networks_1
149,2,100,sjh_148,7Networks_1
150,2,63.3495145631068,sjh_149,7Networks_1
151,2,100,sjh_150,7Networks_1
152,2,94.0251572327044,sjh_151,7Networks_1
153,2,100,sjh_152,7Networks_1
154,2,100,sjh_153,7Networks_1
155,2,100,sjh_154,7Networks_1
156,2,92.3076923076923,sjh_155,7Networks_1
157,2,100,sjh_156,7Networks_1
158,2,100,sjh_157,7Networks_1
159,2,100,sjh_158,7Networks_1
160,2,95.9770114942529,sjh_159,7Networks_1
161,2,100,sjh_160,7Networks_1
162,2,100,sjh_161,7Networks_1
163,2,100,sjh_162,7Networks_1
164,2,90.9952606635071,sjh_163,7Networks_1
165,4,76.2820512820513,sjh_164,7Networks_3
166,2,58.7601078167116,sjh_165,7Networks_1
167,2,100,sjh_166,7Networks_1
168,2,62.4309392265193,sjh_167,7Networks_1
169,2,100,sjh_168,7Networks_1
170,2,100,sjh_169,7Networks_1
171,2,100,sjh_170,7Networks_1
172,2,100,sjh_171,7Networks_1
173,2,99.6197718631179,sjh_172,7Networks_1
174,8,82.3734729493892,sjh_173,7Networks_7
175,2,100,sjh_174,7Networks_1
176,4,77.6119402985075,sjh_175,7Networks_3
177,2,70.0404858299595,sjh_176,7Networks_1
