annot1_idx,annot2_idx,Gof,label1,label2
1,1,92.4443445019114,sjh_0,parc_0
2,3,56.0723514211886,sjh_1,parc_2
3,2,96.3133640552995,sjh_2,parc_1
4,2,99.2592592592593,sjh_3,parc_1
5,2,100,sjh_4,parc_1
6,3,89.041095890411,sjh_5,parc_2
7,2,93.5064935064935,sjh_6,parc_1
8,2,94.2148760330578,sjh_7,parc_1
9,2,86.1325115562404,sjh_8,parc_1
10,3,100,sjh_9,parc_2
11,2,100,sjh_10,parc_1
12,3,100,sjh_11,parc_2
13,2,100,sjh_12,parc_1
14,2,81.1827956989247,sjh_13,parc_1
15,2,100,sjh_14,parc_1
16,3,96.9924812030075,sjh_15,parc_2
17,2,87.037037037037,sjh_16,parc_1
18,2,55.6910569105691,sjh_17,parc_1
19,2,100,sjh_18,parc_1
20,3,69.327731092437,sjh_19,parc_2
21,2,100,sjh_20,parc_1
22,3,100,sjh_21,parc_2
23,2,72.4747474747475,sjh_22,parc_1
24,3,100,sjh_23,parc_2
25,3,100,sjh_24,parc_2
26,3,100,sjh_25,parc_2
27,3,100,sjh_26,parc_2
28,3,100,sjh_27,parc_2
29,3,100,sjh_28,parc_2
30,3,93.1297709923664,sjh_29,parc_2
31,3,100,sjh_30,parc_2
32,2,53.6363636363636,sjh_31,parc_1
33,5,100,sjh_32,parc_4
34,5,100,sjh_33,parc_4
35,5,82.9596412556054,sjh_34,parc_4
36,5,100,sjh_35,parc_4
37,5,100,sjh_36,parc_4
38,3,75.9336099585062,sjh_37,parc_2
39,5,100,sjh_38,parc_4
40,5,100,sjh_39,parc_4
41,5,100,sjh_40,parc_4
42,3,100,sjh_41,parc_2
43,3,100,sjh_42,parc_2
44,3,100,sjh_43,parc_2
45,3,100,sjh_44,parc_2
46,3,68.9542483660131,sjh_45,parc_2
47,3,100,sjh_46,parc_2
48,3,100,sjh_47,parc_2
49,3,100,sjh_48,parc_2
50,3,100,sjh_49,parc_2
51,3,90.6614785992218,sjh_50,parc_2
52,3,100,sjh_51,parc_2
53,3,100,sjh_52,parc_2
54,3,100,sjh_53,parc_2
55,3,100,sjh_54,parc_2
56,3,100,sjh_55,parc_2
57,3,100,sjh_56,parc_2
58,3,100,sjh_57,parc_2
59,5,100,sjh_58,parc_4
60,3,84.1176470588235,sjh_59,parc_2
61,5,86.4864864864865,sjh_60,parc_4
62,5,64.4578313253012,sjh_61,parc_4
63,3,87.0646766169154,sjh_62,parc_2
64,3,100,sjh_63,parc_2
65,3,78.2857142857143,sjh_64,parc_2
66,3,100,sjh_65,parc_2
67,5,66.3366336633663,sjh_66,parc_4
68,3,100,sjh_67,parc_2
69,3,57.2614107883817,sjh_68,parc_2
70,3,100,sjh_69,parc_2
71,3,44.6764091858038,sjh_70,parc_2
72,3,100,sjh_71,parc_2
73,5,100,sjh_72,parc_4
74,5,100,sjh_73,parc_4
75,5,99.7542997542998,sjh_74,parc_4
76,3,100,sjh_75,parc_2
77,3,100,sjh_76,parc_2
78,4,98.8558352402746,sjh_77,parc_3
79,3,85.7798165137615,sjh_78,parc_2
80,4,94.3283582089552,sjh_79,parc_3
81,3,69.634703196347,sjh_80,parc_2
82,3,81.6901408450704,sjh_81,parc_2
83,3,100,sjh_82,parc_2
84,3,100,sjh_83,parc_2
85,3,100,sjh_84,parc_2
86,3,87.4418604651163,sjh_85,parc_2
87,5,94.6938775510204,sjh_86,parc_4
88,3,100,sjh_87,parc_2
89,3,100,sjh_88,parc_2
90,3,100,sjh_89,parc_2
91,5,100,sjh_90,parc_4
92,5,100,sjh_91,parc_4
