annot1_idx,annot2_idx,Gof,label1,label2
1,1,100,sjh_0,cortical_wall
2,5,84.7545219638243,sjh_1,idiotypic
3,5,100,sjh_2,idiotypic
4,5,100,sjh_3,idiotypic
5,5,100,sjh_4,idiotypic
6,5,100,sjh_5,idiotypic
7,5,100,sjh_6,idiotypic
8,5,100,sjh_7,idiotypic
9,5,100,sjh_8,idiotypic
10,4,52.8195488721805,sjh_9,unimodal
11,5,100,sjh_10,idiotypic
12,5,52.5301204819277,sjh_11,idiotypic
13,5,100,sjh_12,idiotypic
14,5,100,sjh_13,idiotypic
15,5,100,sjh_14,idiotypic
16,5,100,sjh_15,idiotypic
17,5,100,sjh_16,idiotypic
18,5,100,sjh_17,idiotypic
19,5,100,sjh_18,idiotypic
20,5,100,sjh_19,idiotypic
21,5,100,sjh_20,idiotypic
22,5,97.7477477477478,sjh_21,idiotypic
23,5,100,sjh_22,idiotypic
24,4,96.8926553672316,sjh_23,unimodal
25,3,100,sjh_24,heteromodal
26,3,95.3917050691244,sjh_25,heteromodal
27,3,100,sjh_26,heteromodal
28,4,100,sjh_27,unimodal
29,4,100,sjh_28,unimodal
30,4,54.1984732824427,sjh_29,unimodal
31,3,100,sjh_30,heteromodal
32,5,100,sjh_31,idiotypic
33,2,100,sjh_32,paralimbic
34,3,82.0987654320988,sjh_33,heteromodal
35,3,100,sjh_34,heteromodal
36,3,100,sjh_35,heteromodal
37,2,52.8169014084507,sjh_36,paralimbic
38,3,100,sjh_37,heteromodal
39,3,100,sjh_38,heteromodal
40,3,100,sjh_39,heteromodal
41,3,100,sjh_40,heteromodal
42,4,100,sjh_41,unimodal
43,3,100,sjh_42,heteromodal
44,3,100,sjh_43,heteromodal
45,4,100,sjh_44,unimodal
46,5,63.7254901960784,sjh_45,idiotypic
47,4,51.4830508474576,sjh_46,unimodal
48,3,75.7575757575758,sjh_47,heteromodal
49,4,100,sjh_48,unimodal
50,4,100,sjh_49,unimodal
51,4,87.9377431906615,sjh_50,unimodal
52,3,98.1818181818182,sjh_51,heteromodal
53,4,100,sjh_52,unimodal
54,3,100,sjh_53,heteromodal
55,3,100,sjh_54,heteromodal
56,4,91.740412979351,sjh_55,unimodal
57,4,100,sjh_56,unimodal
58,4,100,sjh_57,unimodal
59,3,100,sjh_58,heteromodal
60,3,100,sjh_59,heteromodal
61,3,100,sjh_60,heteromodal
62,3,100,sjh_61,heteromodal
63,3,100,sjh_62,heteromodal
64,4,98.5148514851485,sjh_63,unimodal
65,3,97.7142857142857,sjh_64,heteromodal
66,3,100,sjh_65,heteromodal
67,3,100,sjh_66,heteromodal
68,4,100,sjh_67,unimodal
69,3,100,sjh_68,heteromodal
70,3,100,sjh_69,heteromodal
71,3,100,sjh_70,heteromodal
