annot1_idx,annot2_idx,Gof,label1,label2
1,1,100,sjh_0,unknown
2,1,100,sjh_1,unknown
3,1,100,sjh_2,unknown
4,1,100,sjh_3,unknown
5,1,100,sjh_4,unknown
6,1,100,sjh_5,unknown
7,1,100,sjh_6,unknown
8,1,100,sjh_7,unknown
9,1,100,sjh_8,unknown
10,1,100,sjh_9,unknown
11,1,100,sjh_10,unknown
12,1,100,sjh_11,unknown
13,1,100,sjh_12,unknown
14,1,100,sjh_13,unknown
15,1,100,sjh_14,unknown
16,1,100,sjh_15,unknown
17,1,100,sjh_16,unknown
18,1,100,sjh_17,unknown
19,1,100,sjh_18,unknown
20,1,100,sjh_19,unknown
21,1,100,sjh_20,unknown
22,1,100,sjh_21,unknown
23,1,100,sjh_22,unknown
24,1,100,sjh_23,unknown
25,1,100,sjh_24,unknown
26,1,100,sjh_25,unknown
27,1,100,sjh_26,unknown
28,1,100,sjh_27,unknown
29,1,100,sjh_28,unknown
30,1,100,sjh_29,unknown
31,1,100,sjh_30,unknown
32,1,100,sjh_31,unknown
33,1,100,sjh_32,unknown
34,1,100,sjh_33,unknown
35,1,100,sjh_34,unknown
36,1,100,sjh_35,unknown
37,1,100,sjh_36,unknown
38,1,100,sjh_37,unknown
39,1,100,sjh_38,unknown
40,1,100,sjh_39,unknown
41,1,100,sjh_40,unknown
42,1,100,sjh_41,unknown
43,1,100,sjh_42,unknown
44,1,100,sjh_43,unknown
45,1,100,sjh_44,unknown
46,1,100,sjh_45,unknown
47,1,100,sjh_46,unknown
48,1,100,sjh_47,unknown
49,1,100,sjh_48,unknown
50,1,100,sjh_49,unknown
51,1,100,sjh_50,unknown
52,1,100,sjh_51,unknown
53,1,100,sjh_52,unknown
54,1,100,sjh_53,unknown
55,1,100,sjh_54,unknown
56,1,100,sjh_55,unknown
57,1,100,sjh_56,unknown
58,1,100,sjh_57,unknown
59,1,100,sjh_58,unknown
60,1,100,sjh_59,unknown
61,1,100,sjh_60,unknown
62,1,100,sjh_61,unknown
63,1,100,sjh_62,unknown
64,1,100,sjh_63,unknown
65,1,100,sjh_64,unknown
66,1,58.4313725490196,sjh_65,unknown
67,1,100,sjh_66,unknown
68,1,100,sjh_67,unknown
69,1,100,sjh_68,unknown
70,1,100,sjh_69,unknown
71,1,100,sjh_70,unknown
72,1,100,sjh_71,unknown
73,1,100,sjh_72,unknown
74,1,100,sjh_73,unknown
75,1,100,sjh_74,unknown
76,1,100,sjh_75,unknown
77,1,100,sjh_76,unknown
78,1,100,sjh_77,unknown
79,1,100,sjh_78,unknown
80,1,100,sjh_79,unknown
81,1,100,sjh_80,unknown
82,1,100,sjh_81,unknown
83,1,100,sjh_82,unknown
84,1,100,sjh_83,unknown
85,1,100,sjh_84,unknown
86,1,100,sjh_85,unknown
87,1,100,sjh_86,unknown
88,1,100,sjh_87,unknown
89,1,100,sjh_88,unknown
90,1,100,sjh_89,unknown
91,1,100,sjh_90,unknown
92,1,96.039603960396,sjh_91,unknown
93,1,97.3333333333333,sjh_92,unknown
94,1,100,sjh_93,unknown
95,1,90.7103825136612,sjh_94,unknown
96,1,100,sjh_95,unknown
97,1,100,sjh_96,unknown
98,1,100,sjh_97,unknown
99,1,100,sjh_98,unknown
100,1,100,sjh_99,unknown
101,1,100,sjh_100,unknown
102,1,100,sjh_101,unknown
103,1,100,sjh_102,unknown
104,1,100,sjh_103,unknown
105,1,100,sjh_104,unknown
106,1,100,sjh_105,unknown
107,1,100,sjh_106,unknown
108,1,100,sjh_107,unknown
109,1,100,sjh_108,unknown
110,1,100,sjh_109,unknown
111,1,100,sjh_110,unknown
112,1,100,sjh_111,unknown
113,1,100,sjh_112,unknown
114,1,100,sjh_113,unknown
115,1,100,sjh_114,unknown
116,1,100,sjh_115,unknown
117,1,100,sjh_116,unknown
118,1,100,sjh_117,unknown
119,1,100,sjh_118,unknown
120,1,100,sjh_119,unknown
121,1,100,sjh_120,unknown
122,1,92.1832884097035,sjh_121,unknown
123,1,100,sjh_122,unknown
124,1,100,sjh_123,unknown
125,1,100,sjh_124,unknown
126,1,100,sjh_125,unknown
127,1,97.49430523918,sjh_126,unknown
128,1,89.5691609977324,sjh_127,unknown
129,1,100,sjh_128,unknown
130,1,100,sjh_129,unknown
131,1,100,sjh_130,unknown
132,1,100,sjh_131,unknown
133,1,100,sjh_132,unknown
134,1,100,sjh_133,unknown
135,1,100,sjh_134,unknown
136,1,100,sjh_135,unknown
137,1,100,sjh_136,unknown
138,1,100,sjh_137,unknown
139,1,100,sjh_138,unknown
140,1,100,sjh_139,unknown
141,1,100,sjh_140,unknown
142,1,100,sjh_141,unknown
143,1,100,sjh_142,unknown
144,1,100,sjh_143,unknown
145,1,100,sjh_144,unknown
146,1,100,sjh_145,unknown
147,1,100,sjh_146,unknown
148,1,100,sjh_147,unknown
149,1,100,sjh_148,unknown
150,1,100,sjh_149,unknown
151,1,100,sjh_150,unknown
152,1,100,sjh_151,unknown
153,1,100,sjh_152,unknown
154,1,100,sjh_153,unknown
155,1,100,sjh_154,unknown
156,1,100,sjh_155,unknown
157,1,100,sjh_156,unknown
158,1,100,sjh_157,unknown
159,1,100,sjh_158,unknown
160,1,100,sjh_159,unknown
161,1,100,sjh_160,unknown
162,1,100,sjh_161,unknown
163,1,100,sjh_162,unknown
164,1,100,sjh_163,unknown
165,1,87.1794871794872,sjh_164,unknown
166,1,99.4609164420485,sjh_165,unknown
167,1,100,sjh_166,unknown
168,1,100,sjh_167,unknown
169,1,100,sjh_168,unknown
170,1,100,sjh_169,unknown
171,1,100,sjh_170,unknown
172,1,100,sjh_171,unknown
173,1,100,sjh_172,unknown
174,1,100,sjh_173,unknown
175,1,100,sjh_174,unknown
176,4,69.4029850746269,sjh_175,oasis.chubs.ips
177,1,100,sjh_176,unknown
178,1,100,sjh_177,unknown
179,1,100,sjh_178,unknown
180,1,100,sjh_179,unknown
181,1,58.2608695652174,sjh_180,unknown
182,1,100,sjh_181,unknown
183,1,100,sjh_182,unknown
184,1,100,sjh_183,unknown
185,1,100,sjh_184,unknown
186,1,100,sjh_185,unknown
187,1,100,sjh_186,unknown
188,1,100,sjh_187,unknown
189,1,100,sjh_188,unknown
190,1,100,sjh_189,unknown
191,1,100,sjh_190,unknown
192,1,100,sjh_191,unknown
193,1,100,sjh_192,unknown
194,1,100,sjh_193,unknown
195,1,100,sjh_194,unknown
196,1,100,sjh_195,unknown
197,1,100,sjh_196,unknown
198,1,100,sjh_197,unknown
199,1,100,sjh_198,unknown
200,1,100,sjh_199,unknown
201,1,100,sjh_200,unknown
202,1,100,sjh_201,unknown
203,1,100,sjh_202,unknown
204,1,100,sjh_203,unknown
205,1,100,sjh_204,unknown
206,1,100,sjh_205,unknown
207,1,100,sjh_206,unknown
208,1,100,sjh_207,unknown
209,1,100,sjh_208,unknown
210,1,100,sjh_209,unknown
211,1,100,sjh_210,unknown
212,1,100,sjh_211,unknown
213,1,100,sjh_212,unknown
214,1,100,sjh_213,unknown
215,1,100,sjh_214,unknown
216,1,100,sjh_215,unknown
217,1,100,sjh_216,unknown
218,1,100,sjh_217,unknown
219,1,100,sjh_218,unknown
220,1,100,sjh_219,unknown
221,1,100,sjh_221,unknown
222,1,100,sjh_222,unknown
223,1,100,sjh_224,unknown
224,1,100,sjh_225,unknown
225,1,100,sjh_226,unknown
226,1,100,sjh_227,unknown
227,1,100,sjh_228,unknown
228,1,100,sjh_229,unknown
229,1,100,sjh_230,unknown
230,1,100,sjh_231,unknown
231,1,100,sjh_232,unknown
232,1,100,sjh_233,unknown
233,1,100,sjh_234,unknown
234,1,100,sjh_235,unknown
235,1,100,sjh_236,unknown
236,1,100,sjh_237,unknown
237,1,100,sjh_238,unknown
238,1,100,sjh_239,unknown
239,1,100,sjh_240,unknown
240,1,100,sjh_241,unknown
241,1,100,sjh_242,unknown
242,1,66.1157024793389,sjh_243,unknown
243,1,100,sjh_244,unknown
244,3,53.834808259587,sjh_245,oasis.chubs.ipc
245,1,85.0622406639004,sjh_246,unknown
246,1,98.5714285714286,sjh_247,unknown
247,1,100,sjh_248,unknown
248,1,100,sjh_249,unknown
249,1,100,sjh_250,unknown
250,1,100,sjh_251,unknown
251,1,100,sjh_252,unknown
252,1,100,sjh_253,unknown
253,1,100,sjh_254,unknown
254,1,100,sjh_255,unknown
255,1,100,sjh_256,unknown
256,1,100,sjh_257,unknown
257,1,100,sjh_258,unknown
258,1,100,sjh_259,unknown
259,1,100,sjh_260,unknown
260,1,70.2325581395349,sjh_261,unknown
261,1,100,sjh_262,unknown
262,1,100,sjh_263,unknown
263,1,100,sjh_264,unknown
264,1,100,sjh_265,unknown
265,1,100,sjh_266,unknown
266,1,100,sjh_267,unknown
267,1,100,sjh_268,unknown
268,1,100,sjh_269,unknown
269,1,100,sjh_270,unknown
270,1,100,sjh_271,unknown
271,1,100,sjh_272,unknown
272,1,100,sjh_273,unknown
273,1,100,sjh_274,unknown
274,1,100,sjh_275,unknown
275,1,100,sjh_276,unknown
276,1,100,sjh_277,unknown
277,1,100,sjh_278,unknown
278,1,100,sjh_279,unknown
279,1,100,sjh_280,unknown
280,1,100,sjh_281,unknown
281,1,100,sjh_282,unknown
282,1,100,sjh_283,unknown
283,1,100,sjh_284,unknown
284,1,100,sjh_285,unknown
285,1,100,sjh_286,unknown
286,1,100,sjh_287,unknown
287,1,100,sjh_288,unknown
288,1,100,sjh_289,unknown
289,1,100,sjh_290,unknown
290,1,100,sjh_291,unknown
291,1,100,sjh_292,unknown
292,1,100,sjh_293,unknown
293,1,100,sjh_294,unknown
294,1,100,sjh_295,unknown
295,1,53.4591194968553,sjh_297,unknown
296,1,100,sjh_298,unknown
297,1,100,sjh_299,unknown
298,1,67.4050632911392,sjh_300,unknown
299,1,87.7358490566038,sjh_301,unknown
300,1,100,sjh_302,unknown
301,1,100,sjh_303,unknown
302,1,100,sjh_304,unknown
303,1,100,sjh_305,unknown
304,1,100,sjh_306,unknown
305,1,100,sjh_307,unknown
306,1,100,sjh_308,unknown
307,1,97.0588235294118,sjh_309,unknown
308,1,100,sjh_310,unknown
309,1,100,sjh_311,unknown
310,1,100,sjh_312,unknown
311,1,100,sjh_313,unknown
312,1,100,sjh_314,unknown
313,1,100,sjh_315,unknown
314,1,100,sjh_316,unknown
315,1,76.2541806020067,sjh_317,unknown
316,1,100,sjh_318,unknown
317,1,100,sjh_319,unknown
318,1,100,sjh_320,unknown
319,1,100,sjh_321,unknown
320,1,100,sjh_322,unknown
321,1,97.0037453183521,sjh_323,unknown
322,1,100,sjh_324,unknown
323,1,100,sjh_325,unknown
324,1,100,sjh_326,unknown
325,1,100,sjh_327,unknown
326,1,100,sjh_328,unknown
327,1,100,sjh_329,unknown
328,1,100,sjh_330,unknown
329,1,85.8490566037736,sjh_331,unknown
330,1,100,sjh_332,unknown
331,1,100,sjh_333,unknown
332,1,100,sjh_334,unknown
333,1,100,sjh_335,unknown
334,1,100,sjh_336,unknown
335,5,69.96699669967,sjh_337,oasis.chubs.lateraltemporal
336,1,100,sjh_338,unknown
