annot1_idx,annot2_idx,distance,label1,label2
1,1,0.356165406788465,lh_Background+FreeSurfer_Defined_Medial_Wall,lh_FreeSurfer_Defined_Medial_Wall
2,16,26.3568184689987,lh_7Networks_LH_Vis_1,lh_17Networks_15
3,2,34.0315019300952,lh_7Networks_LH_Vis_2,lh_17Networks_1
4,20,17.8340733036967,lh_7Networks_LH_Vis_3,rh_17Networks_1
5,16,22.8285962146388,lh_7Networks_LH_Vis_4,lh_17Networks_15
6,2,6.80461254654833,lh_7Networks_LH_Vis_5,lh_17Networks_1
7,33,21.2760009454648,lh_7Networks_LH_Vis_6,rh_17Networks_14
8,3,29.1254981518179,lh_7Networks_LH_Vis_7,lh_17Networks_2
9,21,32.2458378025217,lh_7Networks_LH_Vis_8,rh_17Networks_2
10,2,23.6865238399835,lh_7Networks_LH_Vis_9,lh_17Networks_1
11,3,10.7687481062459,lh_7Networks_LH_Vis_10,lh_17Networks_2
12,6,32.1367563364805,lh_7Networks_LH_Vis_11,lh_17Networks_5
13,3,34.4766257101646,lh_7Networks_LH_Vis_12,lh_17Networks_2
14,24,38.9333854061477,lh_7Networks_LH_Vis_13,rh_17Networks_5
15,6,24.8055603391972,lh_7Networks_LH_Vis_14,lh_17Networks_5
16,19,14.2312037578321,lh_7Networks_LH_SomMot_1,rh_FreeSurfer_Defined_Medial_Wall
17,15,36.3117152345961,lh_7Networks_LH_SomMot_2,lh_17Networks_14
18,5,28.5377070034164,lh_7Networks_LH_SomMot_3,lh_17Networks_4
19,5,26.1017325932192,lh_7Networks_LH_SomMot_4,lh_17Networks_4
20,5,19.4027016054615,lh_7Networks_LH_SomMot_5,lh_17Networks_4
21,13,51.3398738799156,lh_7Networks_LH_SomMot_6,lh_17Networks_12
22,7,53.0964017547695,lh_7Networks_LH_SomMot_7,lh_17Networks_6
23,23,42.5679039541494,lh_7Networks_LH_SomMot_8,rh_17Networks_4
24,7,28.4586877196888,lh_7Networks_LH_SomMot_9,lh_17Networks_6
