annot1_idx,annot2_idx,Gof,label1,label2
1,1,94.5352437180503,unknown_part1,unknown
2,43,100,bankssts_part1,TE
3,43,100,bankssts_part2,TE
4,21,49.3398193189715,caudalanteriorcingulate_part1,LA1
5,4,52.0879120879121,caudalmiddlefrontal_part1,FB
6,4,100,caudalmiddlefrontal_part2,FB
7,4,69.7341513292434,caudalmiddlefrontal_part3,FB
8,4,99.7658079625293,caudalmiddlefrontal_part4,FB
9,28,70.4864864864865,cuneus_part1,OA
10,28,60.4255319148936,cuneus_part2,OA
11,16,38.4191176470588,entorhinal_part1,HA
12,44,72.238514173998,fusiform_part1,TF
13,44,67.2709923664122,fusiform_part2,TF
14,38,98.7704918032787,fusiform_part3,PH
15,44,98.4022556390977,fusiform_part4,TF
16,38,80.4014167650531,fusiform_part5,PH
17,34,55.8587479935794,inferiorparietal_part1,PD
18,37,81.1180124223603,inferiorparietal_part2,PG
19,37,66.7605633802817,inferiorparietal_part3,PG
20,37,92.96875,inferiorparietal_part4,PG
21,38,56.3720930232558,inferiorparietal_part5,PH
22,37,69.0082644628099,inferiorparietal_part6,PG
23,37,87.7828054298643,inferiorparietal_part7,PG
24,37,99.811320754717,inferiorparietal_part8,PG
25,43,50.1412429378531,inferiortemporal_part1,TE
26,38,51.8057285180573,inferiortemporal_part2,PH
27,43,99.7445721583653,inferiortemporal_part3,TE
28,43,100,inferiortemporal_part4,TE
29,43,99.3261455525606,inferiortemporal_part5,TE
30,43,96.9784172661871,inferiortemporal_part6,TE
31,27,31.25,isthmuscingulate_part1,LE
32,23,38.7478849407783,isthmuscingulate_part2,LC1
33,28,99.0371389270977,lateraloccipital_part1,OA
34,38,100,lateraloccipital_part2,PH
35,28,43.9324116743472,lateraloccipital_part3,OA
36,38,100,lateraloccipital_part4,PH
37,29,40.282131661442,lateraloccipital_part5,OB
38,38,64.8367952522255,lateraloccipital_part6,PH
39,28,83.9838492597577,lateraloccipital_part7,OA
40,28,87.479674796748,lateraloccipital_part8,OA
41,28,53.3333333333333,lateraloccipital_part9,OA
42,10,67.828418230563,lateralorbitofrontal_part1,FE
43,11,92.9925803792251,lateralorbitofrontal_part2,FF
44,11,100,lateralorbitofrontal_part3,FF
