annot1_idx,annot2_idx,Gof,label1,label2
1,1,89.6863055226045,unknown,cortical_wall
2,5,99.3616552938587,FA,idiotypic
3,4,63.9503770372172,FB,unimodal
4,3,80.3694374475231,FC,heteromodal
5,4,65.3247631935047,FCBm,unimodal
6,3,99.7954113692825,FD,heteromodal
7,3,100,FDdelta,heteromodal
8,3,84.8699763593381,FDT,heteromodal
9,3,77.479674796748,FE,heteromodal
10,2,56.9375938237186,FF,paralimbic
11,2,98.6,FG,paralimbic
12,2,100,FH,paralimbic
13,2,64.0074211502783,FJK,paralimbic
14,2,67.205169628433,FLMN,paralimbic
15,2,99.5359628770302,HA,paralimbic
16,2,100,HB,paralimbic
17,2,48.9771359807461,HC,paralimbic
18,2,78.2071926999463,IA,paralimbic
19,2,69.8167791706847,IB,paralimbic
20,2,76.3982102908277,LA1,paralimbic
21,2,86.9646182495345,LA2,paralimbic
22,3,53.9927404718693,LC1,heteromodal
23,2,80.1418439716312,LC2,paralimbic
24,2,99.2700729927007,LC3,paralimbic
25,2,91.9075144508671,LD,paralimbic
26,2,77.5779376498801,LE,paralimbic
27,4,48.2250755287009,OA,unimodal
28,5,93.1995540691193,OB,idiotypic
29,5,92.6151402858655,OC,idiotypic
30,5,78.9783889980354,PA,idiotypic
31,5,87.5924871940808,PB,idiotypic
32,5,80.1356102461075,PC,idiotypic
33,3,47.4570069520673,PD,heteromodal
34,3,77.3794196295929,PE,heteromodal
35,3,62.860909690178,PF,heteromodal
36,3,76.4825139381652,PG,heteromodal
37,4,92.713833157339,PH,unimodal
38,4,67.9733110925771,TA,unimodal
39,4,97.339593114241,TB,unimodal
40,4,85.2080123266564,TC,unimodal
41,5,75.5952380952381,TD,idiotypic
42,4,64.1914441747573,TE,unimodal
43,4,74.195780006918,TF,unimodal
44,2,91.4908579465541,TG,paralimbic
45,0,94.3684790357073,unknown,no label
46,10,99.7909407665505,FA,idiotypic
47,9,63.985347985348,FB,unimodal
48,8,91.2084449346148,FC,heteromodal
49,8,59.5833333333333,FCBm,heteromodal
50,8,99.4968745235554,FD,heteromodal
51,8,100,FDdelta,heteromodal
52,8,89.4096165550822,FDT,heteromodal
53,8,96.8485780169101,FE,heteromodal
54,7,55.2210919659539,FF,paralimbic
55,8,58.3606557377049,FG,heteromodal
56,7,88.64,FH,paralimbic
57,7,78.3369803063457,FJK,paralimbic
58,7,72.8925619834711,FLMN,paralimbic
59,7,83.0265848670757,HA,paralimbic
60,7,100,HB,paralimbic
61,7,64.5626690712353,HC,paralimbic
62,7,92.9490766648013,IA,paralimbic
63,7,86.2619808306709,IB,paralimbic
64,7,56.8386863948033,LA1,paralimbic
65,7,98.6,LA2,paralimbic
66,7,43.5225618631732,LC1,paralimbic
67,7,94.9843260188088,LC2,paralimbic
68,7,100,LC3,paralimbic
69,7,100,LD,paralimbic
70,7,77.5,LE,paralimbic
71,10,58.122555410691,OA,idiotypic
72,10,91.873840445269,OB,idiotypic
73,10,89.2749658002736,OC,idiotypic
74,10,68.5226987710058,PA,idiotypic
75,10,76.7927501970055,PB,idiotypic
76,10,77.2972972972973,PC,idiotypic
77,8,60.3471444568869,PD,heteromodal
78,8,77.8530826410144,PE,heteromodal
79,8,66.6245694603904,PF,heteromodal
80,8,66.2912769612521,PG,heteromodal
81,9,93.8223044886627,PH,unimodal
82,9,76.8361581920904,TA,unimodal
83,9,65.2100840336134,TB,unimodal
84,9,72.8985507246377,TC,unimodal
85,9,71.6845878136201,TD,unimodal
86,9,66.8755340358872,TE,unimodal
87,9,54.4754846066135,TF,unimodal
88,7,88.8033589923023,TG,paralimbic
