annot1_idx,annot2_idx,Gof,label1,label2
1,1,87.9596678529063,unknown,FreeSurfer_Defined_Medial_Wall
2,3,81.0147479639005,FA,7Networks_2
3,5,26.5223384415795,FB,7Networks_4
4,8,54.3240973971453,FC,7Networks_7
5,5,47.8687415426252,FCBm,7Networks_4
6,8,63.6270641531492,FD,7Networks_7
7,7,68,FDdelta,7Networks_6
8,8,45.6855791962175,FDT,7Networks_7
9,8,48.3333333333333,FE,7Networks_7
10,8,42.7621702766459,FF,7Networks_7
11,6,99,FG,7Networks_5
12,6,78.168130489335,FH,7Networks_5
13,1,37.3840445269017,FJK,FreeSurfer_Defined_Medial_Wall
14,6,92.4071082390953,FLMN,7Networks_5
15,6,93.0394431554524,HA,7Networks_5
16,6,100,HB,7Networks_5
17,8,49.6389891696751,HC,7Networks_7
18,5,87.9763821792807,IA,7Networks_4
19,5,55.7859209257473,IB,7Networks_4
20,5,48.2102908277405,LA1,7Networks_4
21,8,45.3445065176909,LA2,7Networks_7
22,8,73.502722323049,LC1,7Networks_7
23,8,97.2813238770686,LC2,7Networks_7
24,7,91.970802919708,LC3,7Networks_6
25,2,83.8150289017341,LD,7Networks_1
26,8,51.7985611510791,LE,7Networks_7
27,2,99.3076535750252,OA,7Networks_1
28,2,98.2905982905983,OB,7Networks_1
29,2,97.3001588141874,OC,7Networks_1
30,3,68.7061465057536,PA,7Networks_2
31,3,92.8856004553216,PB,7Networks_2
32,3,98.1667503766951,PC,7Networks_2
33,4,46.4202951579461,PD,7Networks_3
34,4,54.5013370308012,PE,7Networks_3
35,5,35.1878707976269,PF,7Networks_4
36,8,68.1871937827336,PG,7Networks_7
37,2,69.4297782470961,PH,7Networks_1
38,3,52.7522935779816,TA,7Networks_2
39,3,52.5821596244132,TB,7Networks_2
40,3,87.211093990755,TC,7Networks_2
41,3,100,TD,7Networks_2
42,8,49.2111650485437,TE,7Networks_7
43,6,46.2123832583881,TF,7Networks_5
44,6,84.5288326300984,TG,7Networks_5
45,9,86.6956127276262,unknown,FreeSurfer_Defined_Medial_Wall
46,11,81.0592334494773,FA,7Networks_2
47,13,27.7728937728938,FB,7Networks_4
48,15,56.9402867496455,FC,7Networks_6
49,13,56.5277777777778,FCBm,7Networks_4
50,16,51.3340448239061,FD,7Networks_7
51,15,82.2363203806503,FDdelta,7Networks_6
52,13,41.9354838709677,FDT,7Networks_4
53,14,49.2697924673328,FE,7Networks_5
54,14,43.3464812123728,FF,7Networks_5
55,14,97.5409836065574,FG,7Networks_5
56,14,52.16,FH,7Networks_5
57,15,43.8730853391685,FJK,7Networks_6
58,14,92.2314049586777,FLMN,7Networks_5
59,14,78.9366053169734,HA,7Networks_5
60,14,100,HB,7Networks_5
61,10,42.0198376916141,HC,7Networks_1
62,13,82.1488528259653,IA,7Networks_4
63,13,52.5958466453674,IB,7Networks_4
64,13,50.0541320822808,LA1,7Networks_4
65,13,36,LA2,7Networks_4
66,16,69.2867540029112,LC1,7Networks_7
67,16,99.6865203761756,LC2,7Networks_7
68,15,84.7826086956522,LC3,7Networks_6
69,10,83.9041095890411,LD,7Networks_1
70,16,45.15625,LE,7Networks_7
71,10,98.6440677966102,OA,7Networks_1
72,10,99.7031539888683,OB,7Networks_1
73,10,99.8084815321477,OC,7Networks_1
74,11,68.1464760471532,PA,7Networks_2
75,11,85.0669818754925,PB,7Networks_2
76,11,97.5675675675676,PC,7Networks_2
77,12,53.6954087346025,PD,7Networks_3
78,12,44.6982947092261,PE,7Networks_3
79,13,39.5981630309988,PF,7Networks_4
80,16,54.1515556403894,PG,7Networks_7
81,10,87.9916705229061,PH,7Networks_1
82,11,65.7721280602637,TA,7Networks_2
83,11,64.7058823529412,TB,7Networks_2
84,11,93.3333333333333,TC,7Networks_2
85,11,100,TD,7Networks_2
86,16,36.8057533466249,TE,7Networks_7
87,10,52.2805017103763,TF,7Networks_1
88,14,82.9951014695591,TG,7Networks_5
