annot1_idx,annot2_idx,Gof,label1,label2
1,0,86.6836881472957,no matching lookup,no label
2,22,45.730686438651,L_V1_ROI,pericalcarine
3,12,60,L_MST_ROI,lateraloccipital
4,6,51.0805500982318,L_V6_ROI,cuneus
5,14,35.8125819134994,L_V2_ROI,lingual
6,12,48.5416666666667,L_V3_ROI,lateraloccipital
7,12,70.4676489429853,L_V4_ROI,lateraloccipital
8,8,100,L_V8_ROI,fusiform
9,25,76.986301369863,L_4_ROI,precentral
10,23,98.3831282952548,L_3b_ROI,postcentral
11,25,73.5576923076923,L_FEF_ROI,precentral
12,25,93.8666666666667,L_PEF_ROI,precentral
13,25,71.0365853658537,L_55b_ROI,precentral
14,30,75.1543209876543,L_V3A_ROI,superiorparietal
15,11,65.8424908424908,L_RSC_ROI,isthmuscingulate
16,26,89.4954507857734,L_POS2_ROI,precuneus
17,30,100,L_V7_ROI,superiorparietal
18,30,99.6932515337423,L_IPS1_ROI,superiorparietal
19,8,100,L_FFC_ROI,fusiform
20,30,52.6610644257703,L_V3B_ROI,superiorparietal
21,12,100,L_LO1_ROI,lateraloccipital
22,12,100,L_LO2_ROI,lateraloccipital
23,12,85.6687898089172,L_PIT_ROI,lateraloccipital
24,12,82.5342465753425,L_MT_ROI,lateraloccipital
25,35,99.25,L_A1_ROI,transversetemporal
26,32,63.8029782359679,L_PSL_ROI,supramarginal
27,29,100,L_SFL_ROI,superiorfrontal
28,26,100,L_PCV_ROI,precuneus
29,31,47.0588235294118,L_STV_ROI,superiortemporal
30,26,97.5510204081633,L_7Pm_ROI,precuneus
31,26,100,L_7m_ROI,precuneus
32,26,72.9186602870813,L_POS1_ROI,precuneus
33,24,100,L_23d_ROI,posteriorcingulate
34,26,64.7849462365591,L_v23ab_ROI,precuneus
35,11,71.4884696016772,L_d23ab_ROI,isthmuscingulate
36,11,62.4505928853755,L_31pv_ROI,isthmuscingulate
37,18,100,L_5m_ROI,paracentral
38,18,66.4278403275333,L_5mv_ROI,paracentral
39,24,68.4756584197925,L_23c_ROI,posteriorcingulate
40,26,40.1639344262295,L_5L_ROI,precuneus
41,18,64.5739910313901,L_24dd_ROI,paracentral
42,29,79.9113737075332,L_24dv_ROI,superiorfrontal
43,30,99.3530499075786,L_7AL_ROI,superiorparietal
44,29,100,L_SCEF_ROI,superiorfrontal
45,29,100,L_6ma_ROI,superiorfrontal
46,26,61.3180515759312,L_7Am_ROI,precuneus
47,30,98.8700564971751,L_7PL_ROI,superiorparietal
48,30,100,L_7PC_ROI,superiorparietal
49,30,100,L_LIPv_ROI,superiorparietal
50,30,100,L_VIP_ROI,superiorparietal
51,30,98.7789987789988,L_MIP_ROI,superiorparietal
52,23,98.5661424606845,L_1_ROI,postcentral
53,23,69.3030540328896,L_2_ROI,postcentral
54,25,63.4105960264901,L_3a_ROI,precentral
55,25,100,L_6d_ROI,precentral
56,25,48.8145048814505,L_6mp_ROI,precentral
57,25,100,L_6v_ROI,precentral
58,24,86.5044247787611,L_p24pr_ROI,posteriorcingulate
59,3,66.5594855305466,L_33pr_ROI,caudalanteriorcingulate
60,3,100,L_a24pr_ROI,caudalanteriorcingulate
61,29,75.5464480874317,L_p32pr_ROI,superiorfrontal
62,27,99.7752808988764,L_a24_ROI,rostralanteriorcingulate
63,29,89.3115942028985,L_d32_ROI,superiorfrontal
64,29,100,L_8BM_ROI,superiorfrontal
65,15,50.4524886877828,L_p32_ROI,medialorbitofrontal
66,15,99.5505617977528,L_10r_ROI,medialorbitofrontal
67,13,91.1392405063291,L_47m_ROI,lateralorbitofrontal
68,4,97.7482088024565,L_8Av_ROI,caudalmiddlefrontal
69,29,63.8720829732066,L_8Ad_ROI,superiorfrontal
70,29,95.1754385964912,L_9m_ROI,superiorfrontal
71,29,100,L_8BL_ROI,superiorfrontal
72,29,74.7638326585695,L_9p_ROI,superiorfrontal
73,29,91.118800461361,L_10d_ROI,superiorfrontal
74,4,80.2303262955854,L_8C_ROI,caudalmiddlefrontal
75,19,100,L_44_ROI,parsopercularis
76,21,76.3598326359833,L_45_ROI,parstriangularis
77,20,40.9436834094368,L_47l_ROI,parsorbitalis
78,20,68.3060109289617,L_a47r_ROI,parsorbitalis
79,25,71.343537414966,L_6r_ROI,precentral
80,19,66.6666666666667,L_IFJa_ROI,parsopercularis
81,25,54.1832669322709,L_IFJp_ROI,precentral
82,19,76.9230769230769,L_IFSp_ROI,parsopercularis
83,21,42.9429429429429,L_IFSa_ROI,parstriangularis
84,28,100,L_p9-46v_ROI,rostralmiddlefrontal
85,28,100,L_46_ROI,rostralmiddlefrontal
86,28,100,L_a9-46v_ROI,rostralmiddlefrontal
87,28,100,L_9-46d_ROI,rostralmiddlefrontal
88,28,61.0921501706485,L_9a_ROI,rostralmiddlefrontal
89,15,79.8270893371758,L_10v_ROI,medialorbitofrontal
90,28,100,L_a10p_ROI,rostralmiddlefrontal
91,13,37.4064837905237,L_10pp_ROI,lateralorbitofrontal
92,13,84.2917251051893,L_11l_ROI,lateralorbitofrontal
93,13,100,L_13l_ROI,lateralorbitofrontal
94,13,53.6108751062022,L_OFC_ROI,lateralorbitofrontal
95,13,98.0830670926518,L_47s_ROI,lateralorbitofrontal
96,30,98.3739837398374,L_LIPd_ROI,superiorparietal
97,29,45.8923512747875,L_6a_ROI,superiorfrontal
98,4,90.8925318761384,L_i6-8_ROI,caudalmiddlefrontal
99,29,100,L_s6-8_ROI,superiorfrontal
100,25,98.5790408525755,L_43_ROI,precentral
101,23,95.4545454545455,L_OP4_ROI,postcentral
102,32,57.2368421052632,L_OP1_ROI,supramarginal
103,36,52.4812030075188,L_OP2-3_ROI,insula
104,36,52.465483234714,L_52_ROI,insula
105,32,48.4048404840484,L_RI_ROI,supramarginal
106,32,99.5581737849779,L_PFcm_ROI,supramarginal
107,36,100,L_PoI2_ROI,insula
108,31,100,L_TA2_ROI,superiortemporal
109,19,70.7584830339321,L_FOP4_ROI,parsopercularis
110,36,100,L_MI_ROI,insula
111,0,48.5799701046338,L_Pir_ROI,no label
112,13,75.4189944134078,L_AVI_ROI,lateralorbitofrontal
113,36,79.4824399260628,L_AAIC_ROI,insula
114,25,96.6555183946488,L_FOP1_ROI,precentral
115,36,73.2558139534884,L_FOP3_ROI,insula
116,25,68,L_FOP2_ROI,precentral
117,32,81.4285714285714,L_PFt_ROI,supramarginal
118,30,52.4100061012813,L_AIP_ROI,superiorparietal
119,7,71.8909710391823,L_EC_ROI,entorhinal
120,17,51.9807923169268,L_PreS_ROI,parahippocampal
121,0,99.6837944664032,L_H_ROI,no label
122,14,50.8695652173913,L_ProS_ROI,lingual
123,7,48.3173076923077,L_PeEc_ROI,entorhinal
124,31,100,L_STGa_ROI,superiortemporal
125,31,97.4496644295302,L_PBelt_ROI,superiortemporal
126,31,91.1684782608696,L_A5_ROI,superiortemporal
127,17,95.7860615883306,L_PHA1_ROI,parahippocampal
128,8,91.340782122905,L_PHA3_ROI,fusiform
129,31,100,L_STSda_ROI,superiortemporal
130,2,52.7196652719665,L_STSdp_ROI,bankssts
131,16,64.5974781765276,L_STSvp_ROI,middletemporal
132,34,44.4877505567929,L_TGd_ROI,temporalpole
133,16,100,L_TE1a_ROI,middletemporal
134,16,58.6530264279625,L_TE1p_ROI,middletemporal
135,10,86.1271676300578,L_TE2a_ROI,inferiortemporal
136,8,62.0919881305638,L_TF_ROI,fusiform
137,10,88.0893300248139,L_TE2p_ROI,inferiortemporal
138,16,64.2528735632184,L_PHT_ROI,middletemporal
139,10,64.9052841475573,L_PH_ROI,inferiortemporal
140,2,94.5093457943925,L_TPOJ1_ROI,bankssts
141,9,58.6264656616415,L_TPOJ2_ROI,inferiorparietal
142,9,98.75,L_TPOJ3_ROI,inferiorparietal
143,26,62.3546511627907,L_DVT_ROI,precuneus
144,9,100,L_PGp_ROI,inferiorparietal
145,9,51.5,L_IP2_ROI,inferiorparietal
146,9,82.5396825396825,L_IP1_ROI,inferiorparietal
147,9,89.1634980988593,L_IP0_ROI,inferiorparietal
148,32,75.6853396901073,L_PFop_ROI,supramarginal
149,32,100,L_PF_ROI,supramarginal
150,9,50.0203998368013,L_PFm_ROI,inferiorparietal
151,9,93.8073394495413,L_PGi_ROI,inferiorparietal
152,9,100,L_PGs_ROI,inferiorparietal
153,30,100,L_V6A_ROI,superiorparietal
154,14,97.9405034324943,L_VMV1_ROI,lingual
155,8,96.1290322580645,L_VMV3_ROI,fusiform
156,17,89.0862944162436,L_PHA2_ROI,parahippocampal
157,12,100,L_V4t_ROI,lateraloccipital
158,12,38.1818181818182,L_FST_ROI,lateraloccipital
159,12,51.063829787234,L_V3CD_ROI,lateraloccipital
160,12,78.7692307692308,L_LO3_ROI,lateraloccipital
161,14,86.7435158501441,L_VMV2_ROI,lingual
162,26,100,L_31pd_ROI,precuneus
163,24,50,L_31a_ROI,posteriorcingulate
164,8,100,L_VVC_ROI,fusiform
165,15,70.189701897019,L_25_ROI,medialorbitofrontal
166,15,91.4285714285714,L_s32_ROI,medialorbitofrontal
167,13,59.4149908592322,L_pOFC_ROI,lateralorbitofrontal
168,36,83.8501291989664,L_PoI1_ROI,insula
169,36,99.8161764705882,L_Ig_ROI,insula
170,21,62.7118644067797,L_FOP5_ROI,parstriangularis
171,28,90.3460837887067,L_p10p_ROI,rostralmiddlefrontal
172,28,48.0801335559265,L_p47r_ROI,rostralmiddlefrontal
173,10,64.1452344931921,L_TGv_ROI,inferiortemporal
174,35,59.1666666666667,L_MBelt_ROI,transversetemporal
175,31,56.8527918781726,L_LBelt_ROI,superiortemporal
176,31,100,L_A4_ROI,superiortemporal
177,16,55.1724137931034,L_STSva_ROI,middletemporal
178,16,75.26395173454,L_TE1m_ROI,middletemporal
179,31,93.4513274336283,L_PI_ROI,superiortemporal
180,29,78.9373814041746,L_a32pr_ROI,superiorfrontal
181,27,62.1451104100946,L_p24_ROI,rostralanteriorcingulate
182,58,43.5375777884155,R_V1_ROI,pericalcarine
183,48,57.9220779220779,R_MST_ROI,lateraloccipital
184,62,45.5985915492958,R_V6_ROI,precuneus
185,50,34.5369441658308,R_V2_ROI,lingual
186,48,55.4047259929613,R_V3_ROI,lateraloccipital
187,48,74.8650732459522,R_V4_ROI,lateraloccipital
188,44,96.9101123595506,R_V8_ROI,fusiform
189,61,78.651102464332,R_4_ROI,precentral
190,59,96.7476489028213,R_3b_ROI,postcentral
191,61,74.2352941176471,R_FEF_ROI,precentral
192,61,65,R_PEF_ROI,precentral
193,61,66.7458432304038,R_55b_ROI,precentral
194,66,75.6291390728477,R_V3A_ROI,superiorparietal
195,47,64.5714285714286,R_RSC_ROI,isthmuscingulate
196,62,78.4403669724771,R_POS2_ROI,precuneus
197,66,100,R_V7_ROI,superiorparietal
198,66,100,R_IPS1_ROI,superiorparietal
199,44,99.438202247191,R_FFC_ROI,fusiform
200,66,75.3315649867374,R_V3B_ROI,superiorparietal
201,48,100,R_LO1_ROI,lateraloccipital
202,48,100,R_LO2_ROI,lateraloccipital
203,48,91.4835164835165,R_PIT_ROI,lateraloccipital
204,48,62.046204620462,R_MT_ROI,lateraloccipital
205,71,99.3355481727575,R_A1_ROI,transversetemporal
206,68,80.8437856328392,R_PSL_ROI,supramarginal
207,65,100,R_SFL_ROI,superiorfrontal
208,62,100,R_PCV_ROI,precuneus
209,38,45.1901565995526,R_STV_ROI,bankssts
210,62,93.1506849315068,R_7Pm_ROI,precuneus
211,62,100,R_7m_ROI,precuneus
212,62,80.9917355371901,R_POS1_ROI,precuneus
213,60,100,R_23d_ROI,posteriorcingulate
214,62,52.4154589371981,R_v23ab_ROI,precuneus
215,47,77.4744027303754,R_d23ab_ROI,isthmuscingulate
216,47,45.979020979021,R_31pv_ROI,isthmuscingulate
217,54,92.2981366459627,R_5m_ROI,paracentral
218,54,59.3724859211585,R_5mv_ROI,paracentral
219,60,50.8679245283019,R_23c_ROI,posteriorcingulate
220,66,39.4911504424779,R_5L_ROI,superiorparietal
221,54,80.9090909090909,R_24dd_ROI,paracentral
222,65,67.686170212766,R_24dv_ROI,superiorfrontal
223,66,100,R_7AL_ROI,superiorparietal
224,65,98.1714285714286,R_SCEF_ROI,superiorfrontal
225,65,100,R_6ma_ROI,superiorfrontal
226,66,50.4241281809614,R_7Am_ROI,superiorparietal
227,66,100,R_7PL_ROI,superiorparietal
228,66,100,R_7PC_ROI,superiorparietal
229,66,100,R_LIPv_ROI,superiorparietal
230,66,100,R_VIP_ROI,superiorparietal
231,66,94.601226993865,R_MIP_ROI,superiorparietal
232,59,100,R_1_ROI,postcentral
233,59,67.7651905252317,R_2_ROI,postcentral
234,61,70.6214689265537,R_3a_ROI,precentral
235,61,100,R_6d_ROI,precentral
236,61,64.6492434662999,R_6mp_ROI,precentral
237,61,100,R_6v_ROI,precentral
238,60,91.1870503597122,R_p24pr_ROI,posteriorcingulate
239,39,74.1706161137441,R_33pr_ROI,caudalanteriorcingulate
240,39,96.1218836565097,R_a24pr_ROI,caudalanteriorcingulate
241,65,83.2694763729246,R_p32pr_ROI,superiorfrontal
242,63,97.5609756097561,R_a24_ROI,rostralanteriorcingulate
243,65,91.5954415954416,R_d32_ROI,superiorfrontal
244,65,100,R_8BM_ROI,superiorfrontal
245,51,59.1611479028698,R_p32_ROI,medialorbitofrontal
246,51,100,R_10r_ROI,medialorbitofrontal
247,49,100,R_47m_ROI,lateralorbitofrontal
248,40,88.2820258192651,R_8Av_ROI,caudalmiddlefrontal
249,65,76.2993762993763,R_8Ad_ROI,superiorfrontal
250,65,98.7152034261242,R_9m_ROI,superiorfrontal
251,65,100,R_8BL_ROI,superiorfrontal
252,65,70.2503681885125,R_9p_ROI,superiorfrontal
253,65,85.6870229007634,R_10d_ROI,superiorfrontal
254,40,66.7590027700831,R_8C_ROI,caudalmiddlefrontal
255,55,88.4892086330935,R_44_ROI,parsopercularis
256,57,100,R_45_ROI,parstriangularis
257,56,71.9123505976096,R_47l_ROI,parsorbitalis
258,64,47.6769911504425,R_a47r_ROI,rostralmiddlefrontal
259,61,55.8663558663559,R_6r_ROI,precentral
260,55,74.8917748917749,R_IFJa_ROI,parsopercularis
261,40,45.7063711911357,R_IFJp_ROI,caudalmiddlefrontal
262,64,49.8538011695906,R_IFSp_ROI,rostralmiddlefrontal
263,57,78.5904255319149,R_IFSa_ROI,parstriangularis
264,64,100,R_p9-46v_ROI,rostralmiddlefrontal
265,64,99.2771084337349,R_46_ROI,rostralmiddlefrontal
266,64,100,R_a9-46v_ROI,rostralmiddlefrontal
267,64,100,R_9-46d_ROI,rostralmiddlefrontal
268,64,57.7708006279435,R_9a_ROI,rostralmiddlefrontal
269,51,86.78955453149,R_10v_ROI,medialorbitofrontal
270,64,100,R_a10p_ROI,rostralmiddlefrontal
