annot1_idx,annot2_idx,Gof,label1,label2
1,46,49.3670886075949,no matching lookup,unknown
2,30,65.2475484333891,L_V1_ROI,OC
3,38,100,L_MST_ROI,PH
4,28,91.7485265225933,L_V6_ROI,OA
5,28,53.5386631716907,L_V2_ROI,OA
6,28,99.9479166666667,L_V3_ROI,OA
7,28,71.4285714285714,L_V4_ROI,OA
8,38,100,L_V8_ROI,PH
9,3,98.7546699875467,L_4_ROI,FA
10,32,45.1669595782074,L_3b_ROI,PB
11,3,69.3509615384615,L_FEF_ROI,FA
12,4,52.2666666666667,L_PEF_ROI,FB
13,3,67.3780487804878,L_55b_ROI,FA
14,28,100,L_V3A_ROI,OA
15,27,48.3516483516484,L_RSC_ROI,LE
16,35,100,L_POS2_ROI,PE
17,28,60.948905109489,L_V7_ROI,OA
18,35,99.5398773006135,L_IPS1_ROI,PE
19,44,59.7435897435897,L_FFC_ROI,TF
20,28,70.5882352941177,L_V3B_ROI,OA
21,38,93.7106918238994,L_LO1_ROI,PH
22,38,99.6904024767802,L_LO2_ROI,PH
23,38,100,L_PIT_ROI,PH
24,38,100,L_MT_ROI,PH
25,41,47.5,L_A1_ROI,TC
26,36,64.0320733104238,L_PSL_ROI,PF
27,4,88.0630630630631,L_SFL_ROI,FB
28,35,72.752808988764,L_PCV_ROI,PE
29,43,87.9411764705882,L_STV_ROI,TE
30,35,100,L_7Pm_ROI,PE
31,35,100,L_7m_ROI,PE
32,35,32.6315789473684,L_POS1_ROI,PE
33,24,29.9412915851272,L_23d_ROI,LC2
34,24,44.6236559139785,L_v23ab_ROI,LC2
35,24,69.601677148847,L_d23ab_ROI,LC2
36,23,98.6166007905138,L_31pv_ROI,LC1
37,31,44.9304174950298,L_5m_ROI,PA
38,3,41.8628454452405,L_5mv_ROI,FA
39,23,40.462889066241,L_23c_ROI,LC1
40,33,72.8337236533958,L_5L_ROI,PC
41,4,70.0448430493274,L_24dd_ROI,FB
42,4,60.5612998522895,L_24dv_ROI,FB
43,35,73.2902033271719,L_7AL_ROI,PE
44,4,96.8393327480246,L_SCEF_ROI,FB
45,4,100,L_6ma_ROI,FB
46,35,83.1900668576886,L_7Am_ROI,PE
47,35,100,L_7PL_ROI,PE
48,35,77.1098265895954,L_7PC_ROI,PE
49,34,57.2549019607843,L_LIPv_ROI,PD
50,35,100,L_VIP_ROI,PE
51,35,99.6336996336996,L_MIP_ROI,PE
52,33,88.6216466234968,L_1_ROI,PC
53,34,88.4494909945184,L_2_ROI,PD
54,31,54.3598233995585,L_3a_ROI,PA
55,3,100,L_6d_ROI,FA
56,3,51.952580195258,L_6mp_ROI,FA
57,4,53.9956803455724,L_6v_ROI,FB
58,21,78.0973451327434,L_p24pr_ROI,LA1
59,22,84.887459807074,L_33pr_ROI,LA2
60,21,85.2713178294574,L_a24pr_ROI,LA1
61,21,41.2568306010929,L_p32pr_ROI,LA1
62,21,71.9101123595506,L_a24_ROI,LA1
63,7,74.0942028985507,L_d32_ROI,FD
64,5,90.0128040973111,L_8BM_ROI,FC
65,10,74.8868778280543,L_p32_ROI,FE
66,10,95.0561797752809,L_10r_ROI,FE
67,11,100,L_47m_ROI,FF
68,4,75.9467758444217,L_8Av_ROI,FB
69,5,85.1339671564391,L_8Ad_ROI,FC
70,7,89.2105263157895,L_9m_ROI,FD
71,5,99.8420221169036,L_8BL_ROI,FC
72,5,64.3724696356275,L_9p_ROI,FC
73,7,89.1580161476355,L_10d_ROI,FD
74,4,56.5259117082534,L_8C_ROI,FB
75,6,96.9827586206897,L_44_ROI,FCBm
76,9,77.510460251046,L_45_ROI,FDT
77,11,100,L_47l_ROI,FF
78,7,61.0928961748634,L_a47r_ROI,FD
79,4,75.3401360544218,L_6r_ROI,FB
80,6,77.9541446208113,L_IFJa_ROI,FCBm
81,4,86.8525896414343,L_IFJp_ROI,FB
82,6,78.2692307692308,L_IFSp_ROI,FCBm
83,9,66.6666666666667,L_IFSa_ROI,FDT
84,5,86.0201511335013,L_p9-46v_ROI,FC
85,5,50.4257332071902,L_46_ROI,FC
86,7,69.8762035763411,L_a9-46v_ROI,FD
87,8,39.6706586826347,L_9-46d_ROI,FDdelta
88,7,78.839590443686,L_9a_ROI,FD
89,10,58.35734870317,L_10v_ROI,FE
90,7,60.9243697478992,L_a10p_ROI,FD
91,10,100,L_10pp_ROI,FE
92,10,55.1192145862553,L_11l_ROI,FE
93,11,100,L_13l_ROI,FF
94,11,46.0492778249788,L_OFC_ROI,FF
95,11,93.9297124600639,L_47s_ROI,FF
96,34,86.3414634146341,L_LIPd_ROI,PD
97,4,72.1813031161473,L_6a_ROI,FB
98,4,100,L_i6-8_ROI,FB
99,4,66.4495114006515,L_s6-8_ROI,FB
100,4,100,L_43_ROI,FB
101,33,51.8847006651885,L_OP4_ROI,PC
102,36,100,L_OP1_ROI,PF
103,36,83.3082706766917,L_OP2-3_ROI,PF
104,20,47.1400394477318,L_52_ROI,IB
105,36,63.4763476347635,L_RI_ROI,PF
106,36,100,L_PFcm_ROI,PF
107,20,58.6335403726708,L_PoI2_ROI,IB
108,39,61.3445378151261,L_TA2_ROI,TA
109,6,79.940119760479,L_FOP4_ROI,FCBm
110,19,100,L_MI_ROI,IA
111,1,53.6621823617339,L_Pir_ROI,unknown
112,14,42.877094972067,L_AVI_ROI,FJK
113,14,73.0129390018484,L_AAIC_ROI,FJK
114,4,93.6454849498328,L_FOP1_ROI,FB
115,19,57.3643410852713,L_FOP3_ROI,IA
116,4,84.25,L_FOP2_ROI,FB
117,34,83.2539682539683,L_PFt_ROI,PD
118,34,98.2306284319707,L_AIP_ROI,PD
119,16,45.144804088586,L_EC_ROI,HA
120,18,54.2617046818727,L_PreS_ROI,HC
