annot1_idx,annot2_idx,Gof,label1,label2
1,9,89.0124095139607,no label,FreeSurfer_Defined_Medial_Wall
2,1,86.2408685744923,cortical_wall,FreeSurfer_Defined_Medial_Wall
3,6,36.0189101766609,paralimbic,7Networks_5
4,8,44.646628757108,heteromodal,7Networks_7
5,2,23.5583684950774,unimodal,7Networks_1
6,3,55.1405433953406,idiotypic,7Networks_2
7,14,32.3142315767911,paralimbic,7Networks_5
8,16,32.1972772417439,heteromodal,7Networks_7
9,11,25.0313358988455,unimodal,7Networks_2
10,11,51.3796165356661,idiotypic,7Networks_2
