annot1_idx,annot2_idx,Gof,label1,label2
1,1,99.5402298850575,Background+FreeSurfer_Defined_Medial_Wall,unknown_part1
2,47,36.144578313253,7Networks_LH_Vis_1,lingual_part1
3,15,31.6666666666667,7Networks_LH_Vis_2,fusiform_part3
4,35,41.1764705882353,7Networks_LH_Vis_3,lateraloccipital_part2
5,50,28,7Networks_LH_Vis_4,lingual_part4
6,41,32.0512820512821,7Networks_LH_Vis_5,lateraloccipital_part8
7,49,47.7272727272727,7Networks_LH_Vis_6,lingual_part3
8,72,37,7Networks_LH_Vis_7,pericalcarine_part1
9,37,43.1372549019608,7Networks_LH_Vis_8,lateraloccipital_part4
10,40,46.7741935483871,7Networks_LH_Vis_9,lateraloccipital_part7
11,73,40.4624277456647,7Networks_LH_Vis_10,pericalcarine_part2
12,42,27.906976744186,7Networks_LH_Vis_11,lateraloccipital_part9
13,10,62.5,7Networks_LH_Vis_12,cuneus_part1
14,11,26.4957264957265,7Networks_LH_Vis_13,cuneus_part2
15,34,30.7692307692308,7Networks_LH_Vis_14,lateraloccipital_part1
16,139,36.7816091954023,7Networks_LH_SomMot_1,superiortemporal_part6
17,134,43.8709677419355,7Networks_LH_SomMot_2,superiortemporal_part1
18,151,57.7777777777778,7Networks_LH_SomMot_3,insula_part1
19,75,45.1327433628319,7Networks_LH_SomMot_4,postcentral_part2
20,142,64.2857142857143,7Networks_LH_SomMot_5,supramarginal_part2
21,79,30.5882352941176,7Networks_LH_SomMot_6,postcentral_part6
22,92,38.2978723404255,7Networks_LH_SomMot_7,precentral_part9
23,116,42.8571428571429,7Networks_LH_SomMot_8,superiorfrontal_part6
24,80,46.3414634146341,7Networks_LH_SomMot_9,postcentral_part7
25,78,41.6666666666667,7Networks_LH_SomMot_10,postcentral_part5
26,126,86.7924528301887,7Networks_LH_SomMot_11,superiorparietal_part3
27,84,37.2727272727273,7Networks_LH_SomMot_12,precentral_part1
28,76,64.4067796610169,7Networks_LH_SomMot_13,postcentral_part3
29,88,49.4949494949495,7Networks_LH_SomMot_14,precentral_part5
30,63,26.4840182648402,7Networks_LH_SomMot_15,paracentral_part1
31,74,46.551724137931,7Networks_LH_SomMot_16,postcentral_part1
32,16,33.5820895522388,7Networks_LH_DorsAttn_Post_1,fusiform_part4
33,57,51.7857142857143,7Networks_LH_DorsAttn_Post_2,middletemporal_part2
34,131,42.0454545454545,7Networks_LH_DorsAttn_Post_3,superiorparietal_part8
35,146,48.9795918367347,7Networks_LH_DorsAttn_Post_4,supramarginal_part6
36,127,36.9047619047619,7Networks_LH_DorsAttn_Post_5,superiorparietal_part4
37,127,60.2739726027397,7Networks_LH_DorsAttn_Post_6,superiorparietal_part4
38,133,45.8333333333333,7Networks_LH_DorsAttn_Post_7,superiorparietal_part10
39,128,48.0519480519481,7Networks_LH_DorsAttn_Post_8,superiorparietal_part5
40,98,37.1134020618557,7Networks_LH_DorsAttn_Post_9,precuneus_part6
41,124,54.8076923076923,7Networks_LH_DorsAttn_Post_10,superiorparietal_part1
42,91,37.6237623762376,7Networks_LH_DorsAttn_FEF_1,precentral_part8
43,114,49.2957746478873,7Networks_LH_DorsAttn_FEF_2,superiorfrontal_part4
44,87,48.1481481481481,7Networks_LH_DorsAttn_PrCv_1,precentral_part4
45,136,39.7849462365591,7Networks_LH_SalVentAttn_ParOper_1,superiortemporal_part3
46,144,78.0487804878049,7Networks_LH_SalVentAttn_ParOper_2,supramarginal_part4
47,147,28.2051282051282,7Networks_LH_SalVentAttn_ParOper_3,supramarginal_part7
48,154,31.496062992126,7Networks_LH_SalVentAttn_FrOper_1,insula_part4
49,154,29.8245614035088,7Networks_LH_SalVentAttn_FrOper_2,insula_part4
50,153,47.6744186046512,7Networks_LH_SalVentAttn_FrOper_3,insula_part3
51,67,41.8604651162791,7Networks_LH_SalVentAttn_FrOper_4,parsopercularis_part2
52,107,29.3103448275862,7Networks_LH_SalVentAttn_PFCl_1,rostralmiddlefrontal_part7
53,120,42.4778761061947,7Networks_LH_SalVentAttn_Med_1,superiorfrontal_part10
54,82,33.0985915492958,7Networks_LH_SalVentAttn_Med_2,posteriorcingulate_part1
55,112,56.7567567567568,7Networks_LH_SalVentAttn_Med_3,superiorfrontal_part2
56,44,57.1428571428571,7Networks_LH_Limbic_OFC_1,lateralorbitofrontal_part2
57,53,33.9181286549708,7Networks_LH_Limbic_OFC_2,medialorbitofrontal_part1
58,12,47.787610619469,7Networks_LH_Limbic_TempPole_1,entorhinal_part1
59,28,34.4262295081967,7Networks_LH_Limbic_TempPole_2,inferiortemporal_part3
60,149,60.8108108108108,7Networks_LH_Limbic_TempPole_3,temporalpole_part1
61,135,68.3333333333333,7Networks_LH_Limbic_TempPole_4,superiortemporal_part2
62,143,38.8888888888889,7Networks_LH_Cont_Par_1,supramarginal_part3
63,18,36.4485981308411,7Networks_LH_Cont_Par_2,inferiorparietal_part1
64,141,65.2777777777778,7Networks_LH_Cont_Par_3,supramarginal_part1
65,59,43.75,7Networks_LH_Cont_Temp_1,middletemporal_part4
66,69,36.5384615384615,7Networks_LH_Cont_PFCl_1,parsorbitalis_part1
67,102,32.8358208955224,7Networks_LH_Cont_PFCl_2,rostralmiddlefrontal_part2
68,108,41.5584415584416,7Networks_LH_Cont_PFCl_3,rostralmiddlefrontal_part8
69,101,39.8058252427184,7Networks_LH_Cont_PFCl_4,rostralmiddlefrontal_part1
70,105,33.6538461538462,7Networks_LH_Cont_PFCl_5,rostralmiddlefrontal_part5
71,8,30.379746835443,7Networks_LH_Cont_PFCl_6,caudalmiddlefrontal_part4
72,97,46.6666666666667,7Networks_LH_Cont_pCun_1,precuneus_part5
73,33,37.9746835443038,7Networks_LH_Cont_Cing_1,isthmuscingulate_part2
