annot1_idx,annot2_idx,Gof,label1,label2
1,1,98.5057471264368,Background+FreeSurfer_Defined_Medial_Wall,FreeSurfer_Defined_Medial_Wall
2,3,60.2409638554217,7Networks_LH_Vis_1,17Networks_2
3,2,99.1666666666667,7Networks_LH_Vis_2,17Networks_1
4,6,60,7Networks_LH_Vis_3,17Networks_5
5,3,94.6666666666667,7Networks_LH_Vis_4,17Networks_2
6,2,100,7Networks_LH_Vis_5,17Networks_1
7,3,93.1818181818182,7Networks_LH_Vis_6,17Networks_2
8,2,67,7Networks_LH_Vis_7,17Networks_1
9,6,58.8235294117647,7Networks_LH_Vis_8,17Networks_5
10,2,100,7Networks_LH_Vis_9,17Networks_1
11,3,100,7Networks_LH_Vis_10,17Networks_2
12,2,72.0930232558139,7Networks_LH_Vis_11,17Networks_1
13,3,97.9166666666667,7Networks_LH_Vis_12,17Networks_2
14,3,86.3247863247863,7Networks_LH_Vis_13,17Networks_2
15,2,76.9230769230769,7Networks_LH_Vis_14,17Networks_1
16,5,87.3563218390805,7Networks_LH_SomMot_1,17Networks_4
17,5,98.0645161290323,7Networks_LH_SomMot_2,17Networks_4
18,5,98.5185185185185,7Networks_LH_SomMot_3,17Networks_4
19,5,69.0265486725664,7Networks_LH_SomMot_4,17Networks_4
20,5,62.8571428571429,7Networks_LH_SomMot_5,17Networks_4
21,5,99.4117647058823,7Networks_LH_SomMot_6,17Networks_4
22,5,56.3829787234042,7Networks_LH_SomMot_7,17Networks_4
23,4,76.9230769230769,7Networks_LH_SomMot_8,17Networks_3
24,4,98.780487804878,7Networks_LH_SomMot_9,17Networks_3
25,4,94.1666666666667,7Networks_LH_SomMot_10,17Networks_3
26,4,54.7169811320755,7Networks_LH_SomMot_11,17Networks_3
27,4,100,7Networks_LH_SomMot_12,17Networks_3
28,4,100,7Networks_LH_SomMot_13,17Networks_3
29,4,68.6868686868687,7Networks_LH_SomMot_14,17Networks_3
30,4,99.5433789954338,7Networks_LH_SomMot_15,17Networks_3
31,4,100,7Networks_LH_SomMot_16,17Networks_3
32,6,54.4776119402985,7Networks_LH_DorsAttn_Post_1,17Networks_5
33,13,46.4285714285714,7Networks_LH_DorsAttn_Post_2,17Networks_12
34,6,84.0909090909091,7Networks_LH_DorsAttn_Post_3,17Networks_5
35,7,75.5102040816327,7Networks_LH_DorsAttn_Post_4,17Networks_6
36,7,94.0476190476191,7Networks_LH_DorsAttn_Post_5,17Networks_6
37,13,49.3150684931507,7Networks_LH_DorsAttn_Post_6,17Networks_12
38,6,95.8333333333333,7Networks_LH_DorsAttn_Post_7,17Networks_5
39,6,88.3116883116883,7Networks_LH_DorsAttn_Post_8,17Networks_5
40,12,48.4536082474227,7Networks_LH_DorsAttn_Post_9,17Networks_11
41,7,61.5384615384615,7Networks_LH_DorsAttn_Post_10,17Networks_6
42,7,85.1485148514851,7Networks_LH_DorsAttn_FEF_1,17Networks_6
43,13,52.112676056338,7Networks_LH_DorsAttn_FEF_2,17Networks_12
44,13,67.9012345679012,7Networks_LH_DorsAttn_PrCv_1,17Networks_12
45,5,40.8602150537634,7Networks_LH_SalVentAttn_ParOper_1,17Networks_4
46,8,69.5121951219512,7Networks_LH_SalVentAttn_ParOper_2,17Networks_7
47,9,41.025641025641,7Networks_LH_SalVentAttn_ParOper_3,17Networks_8
48,8,92.1259842519685,7Networks_LH_SalVentAttn_FrOper_1,17Networks_7
49,9,65.7894736842105,7Networks_LH_SalVentAttn_FrOper_2,17Networks_8
50,8,83.7209302325581,7Networks_LH_SalVentAttn_FrOper_3,17Networks_7
51,8,52.3255813953488,7Networks_LH_SalVentAttn_FrOper_4,17Networks_7
52,9,82.7586206896552,7Networks_LH_SalVentAttn_PFCl_1,17Networks_8
53,8,76.9911504424779,7Networks_LH_SalVentAttn_Med_1,17Networks_7
54,8,79.5774647887324,7Networks_LH_SalVentAttn_Med_2,17Networks_7
55,8,71.6216216216216,7Networks_LH_SalVentAttn_Med_3,17Networks_7
56,11,94.2857142857143,7Networks_LH_Limbic_OFC_1,17Networks_10
57,11,95.906432748538,7Networks_LH_Limbic_OFC_2,17Networks_10
58,10,93.8053097345133,7Networks_LH_Limbic_TempPole_1,17Networks_9
59,10,95.9016393442623,7Networks_LH_Limbic_TempPole_2,17Networks_9
60,10,97.2972972972973,7Networks_LH_Limbic_TempPole_3,17Networks_9
61,10,63.3333333333333,7Networks_LH_Limbic_TempPole_4,17Networks_9
62,14,86.1111111111111,7Networks_LH_Cont_Par_1,17Networks_13
63,13,57.0093457943925,7Networks_LH_Cont_Par_2,17Networks_12
64,13,94.4444444444444,7Networks_LH_Cont_Par_3,17Networks_12
65,14,64.0625,7Networks_LH_Cont_Temp_1,17Networks_13
66,18,34.6153846153846,7Networks_LH_Cont_PFCl_1,17Networks_17
67,14,67.1641791044776,7Networks_LH_Cont_PFCl_2,17Networks_13
68,14,66.2337662337662,7Networks_LH_Cont_PFCl_3,17Networks_13
