annot1_idx,annot2_idx,Gof,label1,label2
1,1,98.5536302448804,Background+FreeSurfer_Defined_Medial_Wall,unknown_part1
2,13,55.9808612440191,7Networks_LH_Vis_1,fusiform_part1
3,61,33.0998248686515,7Networks_LH_Vis_2,parahippocampal_part1
4,17,54.5454545454545,7Networks_LH_Vis_3,fusiform_part5
5,47,42.7860696517413,7Networks_LH_Vis_4,lingual_part1
6,15,45.7333333333333,7Networks_LH_Vis_5,fusiform_part3
7,39,60.2112676056338,7Networks_LH_Vis_6,lateraloccipital_part6
8,62,93.3810375670841,7Networks_LH_Vis_7,parahippocampal_part2
9,35,54.9824150058617,7Networks_LH_Vis_8,lateraloccipital_part2
10,41,42.7787934186472,7Networks_LH_Vis_9,lateraloccipital_part8
11,49,39.2011834319527,7Networks_LH_Vis_10,lingual_part3
12,50,64.7482014388489,7Networks_LH_Vis_11,lingual_part4
13,41,41.1245865490628,7Networks_LH_Vis_12,lateraloccipital_part8
14,49,45.2655889145497,7Networks_LH_Vis_13,lingual_part3
15,42,59.7110754414125,7Networks_LH_Vis_14,lateraloccipital_part9
16,38,34.9492671927847,7Networks_LH_Vis_15,lateraloccipital_part5
17,51,67.3602080624187,7Networks_LH_Vis_16,lingual_part5
18,37,61.2353567625133,7Networks_LH_Vis_17,lateraloccipital_part4
19,72,60.1941747572816,7Networks_LH_Vis_18,pericalcarine_part1
20,40,58.6436170212766,7Networks_LH_Vis_19,lateraloccipital_part7
21,32,76.1224489795918,7Networks_LH_Vis_20,isthmuscingulate_part1
22,73,61.4539306846999,7Networks_LH_Vis_21,pericalcarine_part2
23,73,38.7709497206704,7Networks_LH_Vis_22,pericalcarine_part2
24,40,23.6593059936909,7Networks_LH_Vis_23,lateraloccipital_part7
25,36,38.8819875776398,7Networks_LH_Vis_24,lateraloccipital_part3
26,11,47.4964234620887,7Networks_LH_Vis_25,cuneus_part2
27,10,71.6272600834492,7Networks_LH_Vis_26,cuneus_part1
28,34,29.3083235638921,7Networks_LH_Vis_27,lateraloccipital_part1
29,19,83.4605597964377,7Networks_LH_Vis_28,inferiorparietal_part2
30,125,52.8735632183908,7Networks_LH_Vis_29,superiorparietal_part2
31,129,50,7Networks_LH_Vis_30,superiorparietal_part6
32,131,48.2704402515723,7Networks_LH_Vis_31,superiorparietal_part8
33,139,44.1834451901566,7Networks_LH_SomMot_1,superiortemporal_part6
34,134,36.0499265785609,7Networks_LH_SomMot_2,superiortemporal_part1
35,151,58.740157480315,7Networks_LH_SomMot_3,insula_part1
36,153,39.6709323583181,7Networks_LH_SomMot_4,insula_part3
37,151,57.4136008918618,7Networks_LH_SomMot_5,insula_part1
38,136,79.6398891966759,7Networks_LH_SomMot_6,superiortemporal_part3
39,134,62.6491646778043,7Networks_LH_SomMot_7,superiortemporal_part1
40,75,96.0057061340942,7Networks_LH_SomMot_8,postcentral_part2
41,75,40.9859154929577,7Networks_LH_SomMot_9,postcentral_part2
42,142,84.012539184953,7Networks_LH_SomMot_10,supramarginal_part2
